正體字形,簡化字形,音序,臺／陸特有詞,臺／陸特有音,臺灣音讀,臺灣漢拼,大陸音讀,大陸漢拼
,嗳／哎,,,,,,ㄟ‵,ài
噯氣,嗳气,,,,,,ㄞˋ　ㄑ丨ˋ,àiqì
,嗌,2.,,,,,ㄞˋ,ài
嬡,嫒,,,,,,ㄞˋ,ài
璦,瑷,,,,,,ㄞˋ,ài
靉,叆,,,,,,ㄞˋ,ài
靉靆,叆叇,,,,,,ㄞˋ　ㄉㄞˋ,àidài
曖,暧,,,,,,ㄞˋ,ài
曖昧,暧昧,,,,,,ㄞˋ ㄇㄟˋ,àimèi
僾,（亻+爱）,,,,,,ㄞˋ,ài
薆,（艹+爱）,,,,,,ㄞˋ,ài
鑀,（钅+爱）,,▲,,,,ㄞˋ,ài
安,安,,,,,,ㄢ,ān
安邦定國,安邦定国,,,,,,ㄢ　ㄅㄤ　ㄉ丨ㄥˋ　ㄍㄨㄛˊ,ānbānɡ-dìnɡɡuó
安步當車,安步当车,,,,ㄢ ㄅㄨˋ ㄉㄤ ㄐㄩ,ānbù–dāngjū,ㄢ ㄅㄨˋ ㄉㄤˋ ㄔㄜ,ānbù–dàngchē
,安瓿,,,,,,ㄢ  ㄅㄨ‵,ānbù
安插,安插,,,,,,ㄢ ㄔㄚ,ānchā
安厝,安厝,,,,,,ㄢ　ㄘㄨㄛˋ,āncuò
安打,安打,,,,,,ㄢ ㄉㄚˇ,āndǎ
安抵,安抵,,,,,,ㄢ ㄉㄧˇ,āndǐ
安定,安定,,,,,,ㄢ ㄉㄧㄥˋ,āndìng
安定器,安定器,,▲,,,,ㄢ　ㄉ丨ㄥˋ　ㄑ丨ˋ,āndìnɡqì
安度,安度,,,,,,ㄢ ㄉㄨˋ,āndù
安頓,安顿,,,,,,ㄢ ㄉㄨㄣˋ,āndùn
,安放,,,,,,ㄢ　ㄈㄤˋ,ānfànɡ
安非他明,安非他明,,★,,,,ㄢ ㄈㄟ ㄊㄚ ㄇㄧㄥˊ,ānfēitāmíng
安非他命,安非他命,,▲,,,,ㄢ ㄈㄟ ㄊㄚ ㄇㄧㄥˋ,ānfēitāmìng
,安分,,,,,,ㄢ　ㄈㄣˋ,ānfèn
安分守己,安分守己,,,,,,ㄢ ㄈㄣˋ ㄕㄡˇ ㄐㄧˇ,ānfèn–shǒujǐ
安撫,安抚,,,,,,ㄢ ㄈㄨˇ,ānfǔ
安哥拉兔,安哥拉兔,,,,,,ㄢ　ㄍㄜ　ㄌㄚ　ㄊㄨˋ,ānɡēlātù
安公子,安公子,,▲,,,,ㄢ ㄍㄨㄥ ㄗˇ,āngōngzǐ
,安好,,,,,,ㄢ　ㄏㄠˇ,ānhǎo
安和樂利,安和乐利,,,,,,ㄢ ㄏㄜˊ ㄌㄜˋ ㄌㄧˋ,ānhé–lèlì
安家,安家,,,,,,ㄢ ㄐㄧㄚ,ānjiā
安家落戶,安家落户,,,,,,ㄢ　ㄐ丨ㄚ　ㄌㄨㄛˋ　ㄏㄨˋ,ānjiā-luòhù
安監,安监,,★,,,,ㄢ　ㄐ丨ㄢ,ānjiān
安檢,安检,,,,,,ㄢ　ㄐ丨ㄢˇ,ānjiǎn
安靜,安静,,,,,,ㄢ ㄐㄧㄥˋ,ānjìng
安居,安居,,,,,,ㄢ　ㄐㄩ,ānjū
安居樂業,安居乐业,,,,,,ㄢ ㄐㄩ ㄌㄜˋ ㄧㄝˋ,ānjū–lèyè
,安康,,,,,,ㄢ　ㄎㄤ,ānkānɡ
安可,安可,,▲,,,,ㄢ ㄎㄜˇ,ānkě
安拉,安拉,,★,,,,ㄢ ㄌㄚ,ānlā
安瀾,安澜,,,,,,ㄢ　ㄌㄢˊ,ānlán
安老院,安老院,,▲,,,,ㄢ ㄌㄠˇ ㄩㄢˋ,ānlǎoyuàn
安樂,安乐,,,,,,ㄢ ㄌㄜˋ,ānlè
安樂死,安乐死,,,,,,ㄢ ㄌㄜˋ ㄙˇ,ānlèsǐ
安樂窩,安乐窝,,,,,,ㄢ ㄌㄜˋ ㄨㄛ,ānlèwō
安樂椅,安乐椅,,,,,,ㄢ　ㄌㄜˋ　丨ˇ,ānlèyǐ
安理會,安理会,,,,,,ㄢ　ㄌ丨ˇ　ㄏㄨㄟˋ,ānlǐhuì
安謐,安谧,,,,,,ㄢ　ㄇ丨ˋ,ānmì
安眠,安眠,,,,,,ㄢ ㄇㄧㄢˊ,ānmián
安眠藥,安眠药,,,,,,ㄢ ㄇㄧㄢˊ ㄧㄠˋ,ānmiányào
,安民告示,,,,,,ㄢ　ㄇ丨ㄣˊ　ㄍㄠˋ　ㄕˋ,ānmínɡàoshì
安內攘外,安内攘外,,,,ㄢ ㄋㄟˋ ㄖㄤˊ ㄨㄞˋ,ān nèi ráng wài,ㄢ ㄋㄟˋ ㄖㄤˇ ㄨㄞˋ,ānnèi–rǎngwài
安寧,安宁,,,,,,ㄢ ㄋㄧㄥˊ,ānníng
安寧病房,安宁病房,,▲,,,,ㄢ ㄋㄧㄥˊ ㄅㄧㄥˋ ㄈㄤˊ,ānníng bìngfáng
安排,安排,,,,,,ㄢ ㄆㄞˊ,ānpái
安培,安培,,,,,,ㄢ ㄆㄟˊ,ānpéi
安培表,安培表,,,,,,ㄢ　ㄆㄟˊ　ㄅ丨ㄠˇ,ānpéibiǎo
安培計,安培计,,,,,,ㄢ　ㄆㄟˊ　ㄐ丨ˋ,ānpéijì
安貧樂道,安贫乐道,,,,,,ㄢ ㄆㄧㄣˊ ㄌㄜˋ ㄉㄠˋ,ānpín–lèdào
安平古堡,安平古堡,,,,,,ㄢ ㄆㄧㄥˊ ㄍㄨˇ ㄅㄠˇ,ānpíng gǔbǎo
安琪兒,安琪儿,,,,,,ㄢ ㄑㄧˊ ㄦˊ,ānqí’ér
安親班,安亲班,,▲,,,,ㄢ ㄑㄧㄣ ㄅㄢ,ānqīnbān
安寢,安寝,,,,,,ㄢ　ㄑ丨ㄣˇ,ānqǐn
安全,安全,,,,,,ㄢ ㄑㄩㄢˊ,ānquán
安全帶,安全带,,,,,,ㄢ ㄑㄩㄢˊ ㄉㄞˋ,ānquándài
安全島,安全岛,,,,,,ㄢ ㄑㄩㄢˊ ㄉㄠˇ,ānquándǎo
安全感,安全感,,,,,,ㄢ ㄑㄩㄢˊ ㄍㄢˇ,ānquángǎn
安全帽,安全帽,,,,,,ㄢ ㄑㄩㄢˊ ㄇㄠˋ,ānquánmào
安全門,安全门,,,,,,ㄢ ㄑㄩㄢˊ ㄇㄣˊ,ānquánmén
安全傘,安全伞,,,,,,ㄢ ㄑㄩㄢˊ ㄙㄢˇ,ānquánsǎn
,安全套,,,,,,ㄢ ㄑㄩㄢˊ ㄊㄠˋ,ānquántào
安全套,安全套,,,,,,ㄢ　ㄑㄩㄢˊ　ㄊㄠˋ,ānquántào
,安全剃刀,,,,,,ㄢ　ㄑㄩㄢˊ　ㄊ丨ˋ　ㄉㄠ,ānquántìdāo
,安然,,,,,,ㄢ　ㄖㄢˊ,ānrán
安然無恙,安然无恙,,,,,,ㄢ ㄖㄢˊ ㄨˊ ㄧㄤˋ,ānrán–wúyàng
安人,安人,,,,,,ㄢ ㄖㄣˊ,ānrén
安如磐石,安如盘石,,,,,,ㄢ　ㄖㄨˊ　ㄆㄢˊ　ㄕˊ,ānrúpánshí
安如泰山,安如泰山,,,,,,ㄢ ㄖㄨˊ ㄊㄞˋ ㄕㄢ,ānrútàishān
安身,安身,,,,,,ㄢ ㄕㄣ,ānshēn
安身立命,安身立命,,,,,,ㄢ ㄕㄣ ㄌㄧˋ ㄇㄧㄥˋ,ānshēn–lìmìng
,安神,,,,,,ㄢ　ㄕㄣˊ,ānshén
,安生,,,,,,ㄢ　ㄕㄥ,ānshēnɡ
安石榴,安石榴,,,,,,ㄢ　ㄕˊ　ㄌ丨ㄡˊ,ānshíliú
安適,安适,,,,,,ㄢ ㄕˋ,ānshì
安睡,安睡,,,,,,ㄢ　ㄕㄨㄟˋ,ānshuì
安胎符,安胎符,,,,,,ㄢ ㄊㄞ ㄈㄨˊ,āntāifú
安太歲,安太岁,,▲,,,,ㄢ ㄊㄞˋ ㄙㄨㄟˋ,āntàisuì
安泰,安泰,,,,,,ㄢ ㄊㄞˋ,āntài
安恬,安恬,,,,,,ㄢ　ㄊ丨ㄢˊ,āntián
安帖,安帖,,,,,,ㄢ　ㄊ丨ㄝ,āntiē
安貼,安帖,,,,,,ㄢ　ㄊ丨ㄝ,āntiē
安土,安土,,,,,,ㄢ　ㄊㄨˇ,āntǔ
安土重遷,安土重迁,,,,,,ㄢ ㄊㄨˇ ㄓㄨㄥˋ ㄑㄧㄢ,āntǔ–zhòngqiān
安妥,安妥,,,,,,ㄢ　ㄊㄨㄛˇ,āntuǒ
,安危,,,,ㄢ　ㄨㄟˊ,ānwéi,ㄢ　ㄨㄟ,ānwēi
安慰,安慰,,,,,,ㄢ ㄨㄟˋ,ānwèi
安慰賽,安慰赛,,,,,,ㄢ　ㄨㄟˋ　ㄙㄞˋ,ānwèisài
安穩,安稳,,,,,,ㄢ　ㄨㄣˇ,ānwěn
安息,安息,,,,ㄢ ㄒㄧˊ,ānxí,ㄢ ㄒㄧ,ānxī
安息日,安息日,,,,ㄢ  ㄒㄧ  ㄖˋ,ānxírì,ㄢ  ㄒㄧ′  ㄖˋ,ānxīrì
安閒,安闲,,,,,,ㄢ ㄒㄧㄢˊ,ānxián
安詳,安详,,,,,,ㄢ  ㄒㄧㄤˊ,ānxiáng
安享,安享,,,,,,ㄢ　ㄒ丨ㄤˇ,ānxiǎnɡ
安享天年,安享天年,,,,,,ㄢ ㄒㄧㄤˇ ㄊㄧㄢ ㄋㄧㄢˊ,ānxiǎng–tiānnián
安歇,安歇,,,,,,ㄢ ㄒㄧㄝ,ānxiē
安心,安心,,,,,,ㄢ ㄒㄧㄣ,ānxīn
