新流水序,臺灣標準字,Unicode-tw,大陸規範字,Unicode-cn
1045640000,類,985e,类,7c7b
2030860000,秈,79c8,籼,7c7c
2032980000,籽,7c7d,籽,7c7d
1031040000,統,7d71,统,7edf
1031960000,缸,7f38,缸,7f38
1032180000,美,7f8e,美,7f8e
2035330000,羑,7f91,羑,7f91
1032320000,羿,7fbf,羿,7fbf
1032570000,耍,800d,耍,800d
2035900000,耔,8014,耔,8014
1032650000,耶,8036,耶,8036
2036030000,耷,8037,耷,8037
2036300000,胂,80c2,胂,80c2
1033110000,胃,80c3,胃,80c3
1033120000,胄,80c4,胄,80c4
1033740000,膽,81bd,胆,80c6
5001400000,胆,80c6,胆,80c6
2036290000,胈,80c8,胈,80c8
1033130000,背,80cc,背,80cc
2013480000,揹,63f9,背,80cc
3108880000,胍,80cd,胍,80cd
1033160000,胎,80ce,胎,80ce
2036370000,胕,80d5,胕,80d5
1033080000,胖,80d6,胖,80d6
2036410000,胗,80d7,胗,80d7
2036340000,胙,80d9,胙,80d9
1033100000,胚,80da,胚,80da
1033150000,胛,80db,胛,80db
1003970000,勝,52dd,胜,80dc
2036390000,胝,80dd,胝,80dd
1033170000,胞,80de,胞,80de
1033140000,胡,80e1,胡,80e1
1046750000,鬍,9b0d,胡,80e1
2044620000,衚,885a,胡,80e1
1033180000,胤,80e4,胤,80e4
1033090000,胥,80e5,胥,80e5
3108830000,胦,80e6,胦,80e6
6000070000,胩,80E9,胩,80e9
1033280000,脈,8108,脉,8109
2028730000,眽,773d,脉,8109
4129190000,衇,8847,脉,8109
1031500000,緻,7dfb,致,81f4
1033900000,致,81f4,致,81f4
2037390000,臿,81ff,臿,81ff
2037470000,舡,8221,舡,8221
1034110000,舢,8222,舢,8222
1034590000,苑,82d1,苑,82d1
1034530000,苒,82d2,苒,82d2
1034610000,苓,82d3,苓,82d3
1034580000,苔,82d4,苔,82d4
2038190000,苕,82d5,苕,82d5
1034540000,苗,82d7,苗,82d7
3055210000,檾,6abe,苘,82d8
1034470000,苛,82db,苛,82db
1034570000,苜,82dc,苜,82dc
1034600000,苞,82de,苞,82de
1034620000,苟,82df,苟,82df
3114380000,苠,82e0,苠,82e0
2038250000,苡,82e1,苡,82e1
1034460000,苣,82e3,苣,82e3
3114370000,苤,82e4,苤,82e4
1034500000,若,82e5,若,82e5
1034480000,苦,82e6,苦,82e6
2041190000,薴,85b4,苧,82e7
2038170000,苨,82e8,苨,82e8
2038210000,苫,82eb,苫,82eb
2038150000,苯,82ef,苯,82ef
1034550000,英,82f1,英,82f1
2038230000,苴,82f4,苴,82f4
3114350000,苷,82f7,苷,82f7
1035960000,蘋,860b,苹,82f9
2038140000,苹,82f9,苹,82f9
2038290000,苻,82fb,苻,82fb
2038130000,苾,82fe,苾,82fe
2038180000,茀,8300,茀,8300
1034560000,茁,8301,茁,8301
1034510000,茂,8302,茂,8302
1030190000,範,7bc4,范,8303
1034440000,范,8303,范,8303
1034490000,茄,8304,茄,8304
1034450000,茅,8305,茅,8305
2038300000,茆,8306,茆,8306
1034520000,茉,8309,茉,8309
2038280000,茌,830c,茌,830c
1034840000,莖,8396,茎,830e
2038200000,茺,833a,茺,833a
1019930000,榮,69ae,荣,8363
1036050000,虐,8650,虐,8650
1036160000,虹,8679,虹,8679
2042130000,虻,867b,虻,867b
4126190000,蝱,8771,虻,867b
1044610000,雖,96d6,虽,867d
1036600000,蝦,8766,虾,867e
2044580000,衎,884e,衎,884e
1037630000,要,8981,要,8981
1037690000,視,8996,视,89c6
2046030000,觔,89d4,觔,89d4
1039910000,赳,8d73,赳,8d73
1040020000,趴,8db4,趴,8db4
1041220000,迢,8fe2,迢,8fe2
1041130000,迆,8fc6,迤,8fe4
2050690000,迤,8fe4,迤,8fe4
1041240000,迥,8fe5,迥,8fe5
1041210000,迦,8fe6,迦,8fe6
2050710000,迨,8fe8,迨,8fe8
1041950000,邇,9087,迩,8fe9
1041230000,迪,8fea,迪,8fea
1041260000,迫,8feb,迫,8feb
1041250000,迭,8fed,迭,8fed
2050700000,迮,8fee,迮,8fee
1041200000,述,8ff0,述,8ff0
1042100000,郁,90c1,郁,90c1
1046810000,鬱,9b31,郁,90c1
2051480000,郤,90e4,郄,90c4
1042080000,郊,90ca,郊,90ca
1042090000,郎,90ce,郎,90ce
1042570000,重,91cd,重,91cd
1043260000,鍾,937e,钟,949f
1043490000,鐘,9418,钟,949f
1043120000,鋼,92fc,钢,94a2
1044120000,陋,964b,陋,964b
1044130000,陌,964c,陌,964c
1044140000,降,964d,降,964d
1044110000,限,9650,限,9650
1044190000,陝,965d,陕,9655
1047630000,麵,9eb5,面,9762
1045290000,韭,97ed,韭,97ed
4164410000,韮,97EE,韭,97ed
1045300000,音,97f3,音,97f3
1045810000,食,98df,食,98df
1046150000,首,9996,首,9996
1046160000,香,9999,香,9999
3027950000,㟏,37cf,㟏,37cf
3027850000,㟐,37d0,㟐,37d0
1000370000,乘,4e58,乘,4e58
2000140000,亳,4eb3,亳,4eb3
1001940000,修,4fee,修,4fee
1033350000,脩,8129,修,4fee
1001720000,俯,4fef,俯,4fef
1001880000,俱,4ff1,俱,4ff1
1001930000,俳,4ff3,俳,4ff3
2000990000,俷,4ff7,俷,4ff7
1001750000,俸,4ff8,俸,4ff8
1001840000,俺,4ffa,俺,4ffa
1001970000,俾,4ffe,俾,4ffe
2000890000,倓,5013,倓,5013
1001860000,倔,5014,倔,5014
1001910000,候,5019,候,5019
1001810000,倚,501a,倚,501a
1001800000,借,501f,借,501f
1001890000,倡,5021,倡,5021
1001740000,倥,5025,倥,5025
1001870000,倨,5028,倨,5028
1001760000,倩,5029,倩,5029
1001960000,倪,502a,倪,502a
1001950000,倭,502d,倭,502d
2000910000,倰,5030,倰,5030
2000960000,倷,5037,倷,5037
1001790000,值,503c,值,503c
1047800000,黨,9ee8,党,515a
1002940000,兼,517c,兼,517c
1003070000,冢,51a2,冢,51a2
1007970000,塚,585a,冢,51a2
3004300000,冣,51a3,冣,51a3
1003050000,冤,51a4,冤,51a4
1003060000,冥,51a5,冥,51a5
1013690000,悽,60bd,凄,51c4
1022360000,淒,6dd2,凄,51c4
2002110000,凄,51c4,凄,51c4
1022920000,準,6e96,准,51c6
1022150000,涼,6dbc,凉,51c9
2002100000,凊,51ca,凊,51ca
1003140000,凌,51cc,凌,51cc
2021330000,淩,6de9,凌,51cc
1003610000,剔,5254,剔,5254
2002330000,剕,5255,剕,5255
1003590000,剖,5256,剖,5256
1003600000,剜,525c,剜,525c
2002280000,剡,5261,剡,5261
1003630000,剝,525d,剥,5265
1003740000,劇,5287,剧,5267
1004220000,匪,532a,匪,532a
1004580000,卿,537f,卿,537f
2002820000,厞,539e,厞,539e
1004610000,原,539f,原,539f
1004770000,叟,53df,叟,53df
2003370000,哤,54e4,哤,54e4
1005870000,哥,54e5,哥,54e5
2003340000,哧,54e7,哧,54e7
1005820000,哨,54e8,哨,54e8
1005960000,哮,54ee,哮,54ee
1005860000,哼,54fc,哼,54fc
2003360000,哽,54fd,哽,54fd
1005840000,唁,5501,唁,5501
2003450000,唅,5505,唅,5505
1005890000,唆,5506,唆,5506
1033330000,脣,8123,唇,5507
1005950000,唉,5509,唉,5509
2003430000,唏,550f,唏,550f
1006750000,嘮,562e,唠,5520
2003540000,啢,5562,唡,5521
3011920000,唕,5515,唣,5523
1005990000,唧,5527,唧,5527
1005850000,唷,5537,唷,5537
1007320000,圃,5703,圃,5703
1007710000,埂,57c2,埂,57c2
1007740000,埃,57c3,埃,57c3
2005320000,埆,57c6,埆,57c6
1007720000,埔,57d4,埔,57d4
2005290000,埕,57d5,埕,57d5
2006060000,夎,590e,夎,590e
1008370000,夏,590f,夏,590f
2006130000,奊,594a,奊,594a
1008690000,奘,5958,奘,5958
1008700000,奚,595a,奚,595a
1009320000,姬,59ec,姬,59ec
2006490000,娉,5a09,娉,5a09
1009370000,娌,5a0c,娌,5a0c
1009260000,娑,5a11,娑,5a11
1009310000,娓,5a13,娓,5a13
2006480000,娖,5a16,娖,5a16
1009270000,娘,5a18,娘,5a18
2007250000,孃,5b43,娘,5a18
2006470000,娙,5a19,娙,5a19
1009280000,娜,5a1c,娜,5a1c
1009290000,娟,5a1f,娟,5a1f
1009330000,娠,5a20,娠,5a20
1009340000,娣,5a23,娣,5a23
1009360000,娥,5a25,娥,5a25
1009350000,娩,5a29,娩,5a29
2006500000,娭,5a2d,娭,5a2d
1009300000,娛,5a1b,娱,5a31
2007330000,孬,5b6c,孬,5b6c
1010250000,害,5bb3,害,5bb3
1010270000,宴,5bb4,宴,5bb4
2052630000,醼,91bc,宴,5bb4
1010290000,宵,5bb5,宵,5bb5
1002170000,傢,50a2,家,5bb6
1010260000,家,5bb6,家,5bb6
1010310000,宸,5bb8,宸,5bb8
1039580000,賓,8cd3,宾,5bbe
1010600000,射,5c04,射,5c04
1010630000,將,5c07,将,5c06
1010920000,屐,5c50,屐,5c50
1010900000,屑,5c51,屑,5c51
2007710000,屔,5c54,屔,5c54
1010910000,展,5c55,展,5c55
1011180000,峨,5ce8,峨,5ce8
1011170000,峪,5cea,峪,5cea
1011140000,峭,5ced,峭,5ced
1011190000,峰,5cf0,峰,5cf0
1011160000,峻,5cfb,峻,5cfb
1011530000,差,5dee,差,5dee
2009290000,帨,5e28,帨,5e28
2009280000,帩,5e29,帩,5e29
1035350000,蓆,84c6,席,5e2d
1011900000,幫,5e6b,帮,5e2e
1012130000,座,5ea7,座,5ea7
2009630000,庨,5ea8,庨,5ea8
2009660000,庬,5eac,庬,5eac
1012120000,庭,5ead,庭,5ead
2011020000,恁,6041,恁,6041
1014650000,戀,6200,恋,604b
1013480000,恐,6050,恐,6050
1013490000,恕,6055,恕,6055
1013450000,恙,6059,恙,6059
2011000000,恚,605a,恚,605a
2010990000,恝,605d,恝,605d
1013460000,恣,6063,恣,6063
2011010000,恧,6067,恧,6067
1013510000,恩,6069,恩,6069
1013500000,恭,606d,恭,606d
1013520000,息,606f,息,606f
1014530000,懇,61c7,恳,6073
2011070000,悁,6081,悁,6081
1013530000,悄,6084,悄,6084
1013580000,悌,608c,悌,608c
1013560000,悍,608d,悍,608d
1013570000,悔,6094,悔,6094
1013550000,悚,609a,悚,609a
2011110000,悛,609b,悛,609b
1013540000,悟,609f,悟,609f
1013590000,悅,6085,悦,60a6
3040870000,扅,6245,扅,6245
2012430000,扆,6246,扆,6246
1014920000,扇,6247,扇,6247
1015690000,拳,62f3,拳,62f3
1015710000,拿,62ff,拿,62ff
2012710000,拏,62cf,拿,62ff
1015700000,挈,6308,挈,6308
2012860000,挐,6310,挐,6310
1017110000,攣,6523,挛,631b
1015850000,挨,6328,挨,6328
2013000000,挩,6329,挩,6329
1015830000,挪,632a,挪,632a
1015740000,振,632f,振,632f
2012960000,挹,6339,挹,6339
1015800000,挺,633a,挺,633a
2012990000,挼,633c,挼,633c
1040790000,輓,8f13,挽,633d
1015760000,捂,6342,捂,6342
2013810000,摀,6440,捂,6342
2012900000,捅,6345,捅,6345
1019390000,梱,68b1,捆,6346
1031260000,綑,7d91,捆,6346
1015790000,捉,6349,捉,6349
2012950000,捌,634c,捌,634c
2012480000,扞,625e,捍,634d
1015720000,捎,634e,捎,634e
1015780000,捏,634f,捏,634f
1015810000,捐,6350,捐,6350
2013040000,捔,6354,捔,6354
1015750000,捕,6355,捕,6355
2013030000,捘,6358,捘,6358
1017220000,效,6548,效,6548
2001260000,傚,509a,效,6548
2014680000,敉,6549,敉,6549
1017370000,敵,6575,敌,654c
1047950000,齋,9f4b,斋,658b
1017470000,料,6599,料,6599
1017620000,旁,65c1,旁,65c1
2015050000,旃,65c3,旃,65c3
2015060000,旄,65c4,旄,65c4
1017970000,晃,6643,晃,6643
1017950000,晉,6649,晋,664b
1017990000,晌,664c,晌,664c
1017960000,晏,664f,晏,664f
4056380000,曬,66EC,晒,6652
1018230000,曉,66c9,晓,6653
1018450000,朔,6714,朔,6714
1018460000,朕,6715,朕,6715
1018470000,朗,6717,朗,6717
1019240000,柴,67f4,柴,67f4
1019310000,栓,6813,栓,6813
2016940000,栔,6814,栔,6814
1019640000,棲,68f2,栖,6816
1014100000,慄,6144,栗,6817
1019200000,栗,6817,栗,6817
2016730000,栚,681a,栚,681a
1019100000,校,6821,校,6821
1019290000,株,682a,株,682a
2016860000,栯,682f,栯,682f
2016760000,栳,6833,栳,6833
1020050000,樣,6a23,样,6837
1019110000,核,6838,核,6838
2045870000,覈,8988,核,6838
3051080000,栺,683a,栺,683a
1019230000,栽,683d,栽,683d
2019070000,欒,6b12,栾,683e
1019260000,桀,6840,桀,6840
1019300000,桅,6845,桅,6845
1019120000,案,6848,案,6848
2016740000,桉,6849,桉,6849
1019210000,桌,684c,桌,684c
2016870000,桎,684e,桎,684e
1019220000,桑,6851,桑,6851
1020280000,橋,6a4b,桥,6865
1019190000,梳,68b3,梳,68b3
2019370000,歭,6b6d,歭,6b6d
1020810000,殊,6b8a,殊,6b8a
1020830000,殘,6b98,残,6b8b
1014150000,慇,6147,殷,6bb7
1020900000,殷,6bb7,殷,6bb7
2019810000,毣,6be3,毣,6be3
2019780000,毦,6be6,毦,6be6
1021170000,氨,6c28,氨,6c28
1022060000,浙,6d59,浙,6d59
1022110000,浚,6d5a,浚,6d5a
1023610000,濬,6fec,浚,6d5a
3061930000,浛,6d5b,浛,6d5b
2020950000,浣,6d63,浣,6d63
1022030000,浦,6d66,浦,6d66
2021160000,浧,6d67,浧,6d67
1022130000,浩,6d69,浩,6d69
1021990000,浪,6d6a,浪,6d6a
1022100000,浮,6d6e,浮,6d6e
1022120000,浴,6d74,浴,6d74
1022050000,海,6d77,海,6d77
1022040000,浸,6d78,浸,6d78
3061830000,浻,6d7b,浻,6d7b
1007960000,塗,5857,涂,6d82
2021230000,涂,6d82,涂,6d82
2021110000,涅,6d85,涅,6d85
1022010000,消,6d88,消,6d88
1022090000,涉,6d89,涉,6d89
2021080000,涊,6d8a,涊,6d8a
1022530000,湧,6e67,涌,6d8c
2021070000,涍,6d8d,涍,6d8d
1022070000,涓,6d93,涓,6d93
2021170000,涔,6d94,涔,6d94
1022000000,涕,6d95,涕,6d95
2021240000,涘,6d98,涘,6d98
2021190000,涗,6d97,涚,6d9a
1023570000,濤,6fe4,涛,6d9b
1023240000,滌,6ecc,涤,6da4
2021090000,淯,6def,淯,6def
1024060000,烈,70c8,烈,70c8
1024020000,烊,70ca,烊,70ca
2023850000,烋,70cb,烋,70cb
2023830000,烑,70d1,烑,70d1
2023820000,烓,70d3,烓,70d3
1024030000,烘,70d8,烘,70d8
1024050000,烙,70d9,烙,70d9
1024570000,燭,71ed,烛,70db
2023810000,烜,70dc,烜,70dc
3066930000,烞,70de,烞,70de
1024200000,煙,7159,烟,70df
1034970000,菸,83f8,烟,70df
1024040000,烤,70e4,烤,70e4
1024730000,爹,7239,爹,7239
2024700000,牷,7277,牷,7277
1024970000,特,7279,特,7279
1025060000,犧,72a7,牺,727a
2025270000,狴,72f4,狴,72f4
1025230000,狷,72f7,狷,72f7
2025730000,獧,7367,狷,72f7
1039240000,貍,8c8d,狸,72f8
2025310000,狻,72fb,狻,72fb
1025190000,狼,72fc,狼,72fc
1026070000,璽,74bd,玺,73ba
2026130000,玼,73bc,玼,73bc
1025690000,珠,73e0,珠,73e0
1025660000,班,73ed,班,73ed
1025670000,琉,7409,琉,7409
4081180000,瑠,7460,琉,7409
2026950000,瓴,74f4,瓴,74f4
1026410000,畔,7554,畔,7554
1026450000,留,7559,留,7559
1026440000,畚,755a,畚,755a
2027260000,畛,755b,畛,755b
1026430000,畜,755c,畜,755c
2027270000,畟,755f,畟,755f
1027330000,皰,76b0,疱,75b1
1026690000,疲,75b2,疲,75b2
2027720000,痾,75fe,疴,75b4
1026730000,疹,75b9,疹,75b9
1026720000,疼,75bc,疼,75bc
1026710000,疽,75bd,疽,75bd
1026660000,疾,75be,疾,75be
2027450000,痂,75c2,痂,75c2
1027120000,癥,7665,症,75c7
2028130000,癰,7670,痈,75c8
2028170000,皊,768a,皊,768a
2028180000,皋,768b,皋,768b
2028380000,盉,76c9,盉,76c9
1027420000,盍,76cd,盍,76cd
1027430000,盎,76ce,盎,76ce
1027680000,真,771f,真,771f
1027690000,眠,7720,眠,7720
1027700000,眨,7728,眨,7728
1027670000,眩,7729,眩,7729
1028190000,矩,77e9,矩,77e9
4059630000,榘,6998,矩,77e9
1028350000,砥,7825,砥,7825
1028300000,砧,7827,砧,7827
2029590000,砨,7828,砨,7828
2029600000,砮,782e,砮,782e
1028290000,砰,7830,砰,7830
5000670000,砹,7839,砹,7839
2030470000,祓,7953,祓,7953
1028850000,祕,7955,祕,7955
1028890000,祖,7956,祖,7956
1028920000,祗,7957,祗,7957
1028930000,祚,795a,祚,795a
2030440000,祛,795b,祛,795b
1028910000,祝,795d,祝,795d
1028880000,祟,795f,祟,795f
2030780000,禰,79b0,祢,7962
2030930000,秘,79d8,秘,79d8
1029220000,租,79df,租,79df
1029200000,秣,79e3,秣,79e3
1029230000,秦,79e6,秦,79e6
1029210000,秧,79e7,秧,79e7
1029240000,秩,79e9,秩,79e9
2030940000,秫,79eb,秫,79eb
2030950000,秬,79ec,秬,79ec
2030980000,秭,79ed,秭,79ed
1029370000,稱,7a31,称,79f0
1029590000,窄,7a84,窄,7a84
2031380000,窅,7a85,窅,7a85
2031360000,窆,7a86,窆,7a86
1029600000,窈,7a88,窈,7a88
2031370000,窉,7a89,窉,7a89
2031410000,窊,7a8a,窊,7a8a
2031390000,窋,7a8b,窋,7a8b
2031400000,窌,7a8c,窌,7a8c
1029880000,笆,7b06,笆,7b06
2031730000,笈,7b08,笈,7b08
1030030000,筍,7b4d,笋,7b0b
2031720000,笏,7b0f,笏,7b0f
1029890000,笑,7b11,笑,7b11
1029990000,筆,7b46,笔,7b14
1030570000,粉,7c89,粉,7c89
2033030000,粑,7c91,粑,7c91
1030910000,紊,7d0a,紊,7d0a
1030920000,素,7d20,素,7d20
1030930000,索,7d22,索,7d22
1031970000,缺,7f3a,缺,7f3a
1032040000,罟,7f5f,罟,7f5f
1032110000,罷,7f77,罢,7f62
1032190000,羔,7f94,羔,7f94
2035840000,耄,8004,耄,8004
1032540000,耆,8006,耆,8006
1032600000,耕,8015,耕,8015
4083500000,畊,754A,耕,8015
2035910000,耖,8016,耖,8016
1032620000,耗,8017,耗,8017
1032590000,耘,8018,耘,8018
1032610000,耙,8019,耙,8019
1032780000,聳,8073,耸,8038
1013470000,恥,6065,耻,803b
1032660000,耽,803d,耽,803d
1032670000,耿,803f,耿,803f
1033230000,胭,80ed,胭,80ed
2036460000,胯,80ef,胯,80ef
1033210000,胰,80f0,胰,80f0
1033190000,胱,80f1,胱,80f1
2036430000,胲,80f2,胲,80f2
1033270000,胳,80f3,胳,80f3
1033240000,胴,80f4,胴,80f4
1033630000,膠,81a0,胶,80f6
1033260000,胸,80f8,胸,80f8
2036420000,胺,80fa,胺,80fa
2036440000,胼,80fc,胼,80fc
1033290000,能,80fd,能,80fd
1033200000,脂,8102,脂,8102
1033250000,脆,8106,脆,8106
1033300000,脊,810a,脊,810a
6000500000,脒,8112,脒,8112
1033880000,臬,81ec,臬,81ec
1033870000,臭,81ed,臭,81ed
1033950000,舀,8200,舀,8200
1034040000,舐,8210,舐,8210
1034140000,舨,8228,舨,8228
1034120000,航,822a,航,822a
1034130000,舫,822b,舫,822b
1034150000,般,822c,般,822c
1039110000,豔,8c54,艳,8273
1007220000,囌,56cc,苏,82cf
1026260000,甦,7526,苏,82cf
1035970000,蘇,8607,苏,82cf
2038490000,茈,8308,茈,8308
2038520000,茖,8316,茖,8316
1034760000,茗,8317,茗,8317
2038470000,茛,831b,茛,831b
2038430000,茜,831c,茜,831c
1031820000,繭,7e6d,茧,8327
2038330000,茨,8328,茨,8328
1034630000,茫,832b,茫,832b
3114790000,茬,832c,茬,832c
2038340000,茭,832d,茭,832d
2038560000,茯,832f,茯,832f
1034780000,茱,8331,茱,8331
2038320000,茳,8333,茳,8333
1034710000,茴,8334,茴,8334
1034700000,茵,8335,茵,8335
1034750000,茶,8336,茶,8336
1034670000,茸,8338,茸,8338
1034740000,茹,8339,茹,8339
2038500000,茼,833c,茼,833c
1034770000,荀,8340,荀,8340
2038410000,荁,8341,荁,8341
2038590000,荃,8343,荃,8343
2038350000,荄,8344,荄,8344
2038580000,荇,8347,荇,8347
1034690000,草,8349,草,8349
1034720000,荏,834f,荏,834f
1034680000,荐,8350,荐,8350
4121100000,薦,85A6,荐,8350
2038370000,荑,8351,荑,8351
1034640000,荒,8352,荒,8352
1034650000,荔,8354,荔,8354
2038390000,荖,8356,荖,8356
1014260000,慮,616e,虑,8651
1036060000,虔,8654,虔,8654
2042270000,蚋,868b,蚋,868b
1036220000,蚌,868c,蚌,868c
2042200000,蚍,868d,蚍,868d
1036950000,蠶,8836,蚕,8695
1036880000,蠔,8814,蚝,869d
1036200000,蚤,86a4,蚤,86a4
1036210000,蚩,86a9,蚩,86a9
2044540000,衄,8844,衄,8844
1037160000,袞,889e,衮,886e
2044700000,衲,8872,衲,8872
1037130000,衷,8877,衷,8877
2044670000,衽,887d,衽,887d
2044770000,衾,887e,衾,887e
2044740000,衿,887f,衿,887f
1037140000,袁,8881,袁,8881
1037150000,袂,8882,袂,8882
1037570000,襖,8956,袄,8884
1039970000,趕,8d95,赶,8d76
1039920000,起,8d77,起,8d77
1040570000,躬,8eac,躬,8eac
1041100000,辱,8fb1,辱,8fb1
1041290000,迷,8ff7,迷,8ff7
2050720000,迸,8ff8,迸,8ff8
1040120000,跡,8de1,迹,8ff9
2049470000,蹟,8e5f,迹,8ff9
1041340000,追,8ffd,追,8ffd
1041300000,退,9000,退,9000
1041270000,送,9001,送,9001
1041780000,適,9069,适,9002
2050750000,适,9002,适,9002
1041330000,逃,9003,逃,9003
2050780000,逄,9004,逄,9004
1041350000,逅,9005,逅,9005
1041280000,逆,9006,逆,9006
1041850000,選,9078,选,9009
1042000000,邕,9095,邕,9095
2051400000,郝,90dd,郝,90dd
1042110000,郡,90e1,郡,90e1
2051430000,郢,90e2,郢,90e2
1042300000,酌,914c,酌,914c
1042290000,配,914d,配,914d
2052190000,酏,914f,酏,914f
1042280000,酒,9152,酒,9152
1042650000,釜,91dc,釜,91dc
1043540000,鐵,9435,铁,94c1
1042870000,鈴,9234,铃,94c3
1044180000,陛,965b,陛,965b
2055400000,陟,965f,陟,965f
1044170000,陡,9661,陡,9661
1044150000,院,9662,院,9662
1044450000,險,96aa,险,9669
1044540000,雋,96cb,隽,96bd
1044670000,難,96e3,难,96be
1046380000,駿,99ff,骏,9a8f
1046570000,骨,9aa8,骨,9aa8
2059200000,鬯,9b2f,鬯,9b2f
1046820000,鬲,9b32,鬲,9b32
1046830000,鬼,9b3c,鬼,9b3c
3035250000,𢓳,224f3,𢓳,224f3
1002160000,倏,500f,倏,500f
2001940000,儵,5135,倏,500f
2001200000,倕,5015,倕,5015
1002040000,偃,5043,偃,5043
1002030000,假,5047,假,5047
2001140000,偈,5048,偈,5048
2001180000,偊,504a,偊,504a
1002050000,偌,504c,偌,504c
1002100000,偎,504e,偎,504e
1002150000,偏,504f,偏,504f
1002110000,偕,5055,偕,5055
2001170000,偛,505b,偛,505b
2001120000,偝,505d,偝,505d
2001070000,偞,505e,偞,505e
2001080000,偠,5060,偠,5060
2001060000,偡,5061,偡,5061
2001190000,偢,5062,偢,5062
2001240000,偫,506b,偫,506b
1002340000,傯,50af,偬,506c
2001040000,偰,5070,偰,5070
2001130000,偲,5072,偲,5072
1002090000,偶,5076,偶,5076
1002140000,偷,5077,偷,5077
2006790000,媮,5aae,偷,5077
2001490000,僂,50c2,偻,507b
1003010000,冕,5195,冕,5195
1022580000,減,6e1b,减,51cf
1022540000,湊,6e4a,凑,51d1
3006130000,剨,5268,剨,5268
1003640000,剪,526a,剪,526a
1018370000,勗,52d7,勖,52d6
1003940000,勘,52d8,勘,52d8
1004170000,匙,5319,匙,5319
1004280000,匾,533e,匾,533e
1004260000,匿,533f,匿,533f
1012210000,廂,5ec2,厢,53a2
2003620000,唌,550c,唌,550c
1006170000,唬,552c,唬,552c
1006150000,售,552e,售,552e
1006190000,唳,5533,唳,5533
2003510000,唴,5534,唴,5534
2003560000,唵,5535,唵,5535
2003480000,唼,553c,唼,553c
4015740000,唿,553F,唿,553f
1006060000,啃,5543,啃,5543
1006030000,啄,5544,啄,5544
1006000000,商,5546,商,5546
1006090000,啖,5556,啖,5556
2003610000,啗,5557,啖,5556
1006050000,啡,5561,啡,5561
1006010000,啪,556a,啪,556a
1007330000,圈,5708,圈,5708
2004920000,圉,5709,圉,5709
2004910000,圊,570a,圊,570a
2005480000,埏,57cf,埏,57cf
1007750000,域,57df,域,57df
1007790000,埠,57e0,埠,57e0
1007800000,埤,57e4,埤,57e4
3016970000,埯,57ef,埯,57ef
2005380000,埶,57f6,埶,57f6
2005430000,埽,57fd,埽,57fd
1007820000,堂,5802,堂,5802
1007780000,堆,5806,堆,5806
2039020000,菫,83eb,堇,5807
3016940000,堎,580e,堎,580e
2005360000,堔,5814,堔,5814
1007830000,堵,5835,堵,5835
1008440000,夠,5920,够,591f
1008710000,奢,5962,奢,5962
2006570000,娵,5a35,娵,5a35
1009380000,娶,5a36,娶,5a36
2006560000,娸,5a38,娸,5a38
1009440000,娼,5a3c,娼,5a3c
1009430000,婀,5a40,婀,5a40
1009470000,婆,5a46,婆,5a46
1009400000,婉,5a49,婉,5a49
1009480000,婊,5a4a,婊,5a4a
2006590000,婐,5a50,婐,5a50
2006630000,婓,5a53,婓,5a53
2006530000,婕,5a55,婕,5a55
2006650000,婗,5a57,婗,5a57
2006520000,婘,5a58,婘,5a58
1009460000,婚,5a5a,婚,5a5a
2006550000,婞,5a5e,婞,5a5e
2006600000,婟,5a5f,婟,5a5f
2006510000,婠,5a60,婠,5a60
1009450000,婢,5a62,婢,5a62
2006640000,婤,5a64,婤,5a64
2006610000,婥,5a65,婥,5a65
2006540000,婧,5a67,婧,5a67
1009420000,婪,5a6a,婪,5a6a
2006620000,婬,5a6c,婬,5a6c
2007040000,嫿,5aff,婳,5a73
1009720000,嬋,5b0b,婵,5a75
1009970000,孰,5b70,孰,5b70
1010360000,宿,5bbf,宿,5bbf
1010350000,寂,5bc2,寂,5bc2
1010370000,密,5bc6,密,5bc6
1010610000,尉,5c09,尉,5c09
2007730000,屝,5c5d,屝,5c5d
1010930000,屠,5c60,屠,5c60
1010950000,屢,5c62,屡,5c61
1011230000,崆,5d06,崆,5d06
1011220000,崇,5d07,崇,5d07
1011300000,崔,5d14,崔,5d14
2008250000,崚,5d1a,崚,5d1a
1011250000,崛,5d1b,崛,5d1b
2008240000,崝,5d1d,崝,5d1d
2008310000,崤,5d24,崤,5d24
1011470000,巢,5de2,巢,5de2
1011780000,帷,5e37,帷,5e37
1011750000,常,5e38,常,5e38
2009670000,庱,5eb1,庱,5eb1
1012170000,庵,5eb5,庵,5eb5
1035050000,菴,83f4,庵,5eb5
1012140000,康,5eb7,康,5eb7
1012150000,庸,5eb8,庸,5eb8
1012180000,庾,5ebe,庾,5ebe
1012610000,彈,5f48,弹,5f39
1012640000,彗,5f57,彗,5f57
1031420000,綵,7db5,彩,5f69
1036080000,彪,5f6a,彪,5f6a
1012940000,徘,5f98,徘,5f98
1012920000,徙,5f99,徙,5f99
1012950000,御,5fa1,御,5fa1
1029030000,禦,79a6,御,5fa1
1013610000,恿,607f,恿,607f
2011160000,悆,6086,悆,6086
1013630000,悉,6089,悉,6089
2011140000,悊,608a,悊,608a
2011150000,悐,6090,悐,6090
1013640000,悠,60a0,悠,60a0
1013620000,患,60a3,患,60a3
1013650000,您,60a8,您,60a8
2011190000,悰,60b0,悰,60b0
