流水號,國字,審定音一,審定音二,審定音三,審定音四,審定音五,審定音六,
0512,夾,ㄐ丨ㄚˊ,,,,,,
0513,奔,ㄅㄣ,,,,,,
0514,奉,ㄈㄥˋ,,,,,,
0515,奇,ㄑ丨ˊ,ㄐ丨,,,,,
0516,奄,丨ㄢˇ,丨ㄢ,,,,,
0517,契,ㄑ丨ˋ,ㄒ丨ㄝˋ,,,,,
0518,奎,ㄎㄨㄟˊ,,,,,,
0519,奓,ㄓㄚ,,,,,,
0520,奘,ㄗㄤˋ,,,,,,
0521,奠,ㄉ丨ㄢˋ,,,,,,
0522,奧,ㄠˋ,,,,,,
0523,奰,ㄅㄟˋ,,,,,,
0524,奲,ㄔㄜˇ,,,,,,
0525,女,ㄋㄩˇ,ㄋㄩˋ,,,,,
0526,妃,ㄈㄟ,,,,,,
0527,好,ㄏㄠˇ,ㄏㄠˋ,,,,,
0528,她,ㄊㄚ,,,,,,
0529,如,ㄖㄨˊ,,,,,,
0530,妁,ㄕㄨㄛˋ,,,,,,
0531,妨,ㄈㄤˊ,,,,,,
0532,妞,ㄋ丨ㄡ,,,,,,
0533,妣,ㄅ丨ˇ,,,,,,
0534,妊,ㄖㄣˋ,,,,,,
0535,妗,ㄐ丨ㄣˋ,,,,,,
0536,妻,ㄑ丨,ㄑ丨ˋ,,,,,
0537,委,ㄨㄟˇ,ㄨㄟ,,,,,
0538,姏,ㄇㄢˊ,,,,,,
0539,姆,ㄇㄨˇ,,,,,,
0540,妲,ㄉㄚˊ,,,,,,
0541,姐,ㄐ丨ㄝˇ,,,,,,
0542,妯,ㄓㄡˊ,,,,,,
0543,姎,丨ㄤ,,,,,,
0544,姍,ㄕㄢ,,,,,,
0545,始,ㄕˇ,,,,,,
0546,妳,ㄋㄞˇ,ㄋ丨ˇ,,,,,
0547,姊,ㄗˇ,,,,,,
0548,姣,ㄐ丨ㄠˇ,ㄒ丨ㄠˊ,,,,,
0549,姥,ㄇㄨˇ,ㄌㄠˇ,,,,,
0550,姼,ㄔˇ,,,,,,
0551,姝,ㄕㄨ,,,,,,
0552,姽,ㄍㄨㄟˇ,,,,,,
0553,姺,ㄒ丨ㄢˇ,,,,,,
0554,姡,ㄏㄨㄛˊ,,,,,,
0555,姘,ㄆ丨ㄣ,,,,,,
0556,姬,ㄐ丨,,,,,,
0557,娑,ㄙㄨㄛ,,,,,,
0558,娘,ㄋ丨ㄤˊ,,,,,,
0559,娓,ㄨㄟˇ,,,,,,
0560,娜,ㄋㄨㄛˊ,ㄋㄚˋ,,,,,
0561,娠,ㄕㄣ,,,,,,
0562,娟,ㄐㄩㄢ,,,,,,
0563,娉,ㄆ丨ㄥ,,,,,,
0564,娭,ㄒ丨,,,,,,
0565,娩,ㄨㄢˇ,ㄇ丨ㄢˇ,,,,,
0566,娶,ㄑㄩˇ,,,,,,
0567,婁,ㄌㄡˊ,ㄌㄩˇ,,,,,
0568,婘,ㄑㄩㄢˊ,,,,,,
0569,婗,ㄋ丨ˊ,,,,,,
0570,婢,ㄅ丨ˋ,,,,,,
0571,媒,ㄇㄟˊ,,,,,,
0572,媞,ㄊ丨ˊ,,,,,,
0573,婼,ㄖㄨㄛˋ,,,,,,
0574,媛,ㄩㄢˊ,,,,,,
0575,媕,ㄢ,,,,,,
0576,媮,ㄊㄡ,,,,,,
0577,媻,ㄆㄢˊ,,,,,,
0578,嫇,ㄇ丨ㄥˊ,,,,,,
0579,媽,ㄇㄚ,,,,,,
0580,嫖,ㄆ丨ㄠˊ,ㄆ丨ㄠ,,,,,
0581,嫚,ㄇㄢˋ,,,,,,
0582,嬈,ㄖㄠˊ,,,,,,
0583,嬉,ㄒ丨,,,,,,
0584,嫽,ㄌ丨ㄠˊ,,,,,,
0585,嬛,ㄒㄩㄢ,,,,,,
0586,嬐,丨ㄢˇ,,,,,,
0587,嬭,ㄋㄞˇ,,,,,,
0588,嬥,ㄊ丨ㄠˋ,,,,,,
0589,孃,ㄋ丨ㄤˊ,,,,,,
0590,孅,ㄒ丨ㄢ,,,,,,
0591,孌,ㄌㄨㄢˊ,,,,,,
0592,孋,ㄌ丨ˊ,,,,,,
0593,子,ㄗˇ,,,,,,
0594,孓,ㄐㄩㄝˊ,,,,,,
0595,孛,ㄅㄛˊ,,,,,,
0596,孚,ㄈㄨˊ,,,,,,
0597,孟,ㄇㄥˋ,,,,,,
0598,孫,ㄙㄨㄣ,,,,,,
0599,孱,ㄔㄢˊ,,,,,,
0600,孳,ㄗ,,,,,,
0601,學,ㄒㄩㄝˊ,,,,,,
0602,孺,ㄖㄨˊ,,,,,,
0603,孿,ㄌㄨㄢˊ,,,,,,
0604,它,ㄊㄚ,,,,,,
0605,守,ㄕㄡˇ,,,,,,
0606,宅,ㄓㄞˊ,,,,,,
0607,宓,ㄇ丨ˋ,ㄈㄨˊ,,,,,
0608,宛,ㄨㄢˇ,ㄩㄢ,,,,,
0609,害,ㄏㄞˋ,,,,,,
0610,家,ㄐ丨ㄚ,ㄍㄨ,,,,,
0611,宿,ㄙㄨˋ,ㄒ丨ㄡˋ,ㄒ丨ㄡˇ,,,,
0612,寖,ㄐ丨ㄣˋ,,,,,,
0613,寘,ㄓˋ,,,,,,
0614,甯,ㄋ丨ㄥˋ,,,,,,
0615,寧,ㄋ丨ㄥˊ,ㄋ丨ㄥˋ,,,,,
0616,寫,ㄒ丨ㄝˇ,,,,,,
0617,寰,ㄏㄨㄢˊ,,,,,,
0618,射,ㄕㄜˋ,丨ㄝˋ,丨ˋ,,,,
0619,尉,ㄨㄟˋ,ㄩˋ,,,,,
0620,將,ㄐ丨ㄤ,ㄐ丨ㄤˋ,ㄑ丨ㄤ,,,,
0621,尋,ㄒㄩㄣˊ,,,,,,
0622,導,ㄉㄠˇ,,,,,,
0623,少,ㄕㄠˇ,ㄕㄠˋ,,,,,
0624,尨,ㄇㄤˊ,ㄇㄥˊ,,,,,
0625,尬,ㄍㄚˋ,,,,,,
0626,尷,ㄍㄢ,,,,,,
0627,尺,ㄔˇ,ㄔㄜˇ,,,,,
0628,尼,ㄋ丨ˊ,,,,,,
0629,尿,ㄋ丨ㄠˋ,,,,,,
0630,尾,ㄨㄟˇ,,,,,,
0631,居,ㄐㄩ,,,,,,
0632,屈,ㄑㄩ,,,,,,
0633,屎,ㄕˇ,ㄒ丨,,,,,
0634,屏,ㄆ丨ㄥˊ,ㄅ丨ㄥˇ,,,,,
0635,屠,ㄊㄨˊ,,,,,,
0636,屢,ㄌㄩˇ,,,,,,
0637,屣,ㄒ丨ˇ,,,,,,
0638,層,ㄘㄥˊ,,,,,,
0639,屧,ㄒ丨ㄝˋ,,,,,,
0640,履,ㄌㄩˇ,,,,,,
0641,屩,ㄐㄩㄝˊ,,,,,,
0642,屬,ㄕㄨˇ,ㄓㄨˇ,,,,,
0643,屯,ㄊㄨㄣˊ,ㄓㄨㄣ,ㄔㄨㄣˊ,,,,
0644,岔,ㄔㄚˋ,,,,,,
0645,岡,ㄍㄤ,,,,,,
0646,岨,ㄐㄩ,,,,,,
0647,岫,ㄒ丨ㄡˋ,,,,,,
0648,岝,ㄗㄨㄛˊ,,,,,,
0649,岣,ㄍㄡˇ,,,,,,
0650,峒,ㄊㄨㄥˊ,ㄉㄨㄥˋ,,,,,
0651,峞,ㄨㄟˊ,,,,,,
0652,峻,ㄐㄩㄣˋ,,,,,,
0653,崒,ㄗㄨˊ,,,,,,
0654,崛,ㄐㄩㄝˊ,,,,,,
0655,崋,ㄏㄨㄚˋ,,,,,,
0656,崚,ㄌㄥˊ,,,,,,
0657,崎,ㄑ丨ˊ,,,,,,
0658,崦,丨ㄢ,,,,,,
0659,崢,ㄓㄥ,,,,,,
0660,崤,丨ㄠˊ,,,,,,
0661,崗,ㄍㄤˇ,,,,,,
0662,嵌,ㄑ丨ㄢ,ㄎㄢˇ,,,,,
0663,崽,ㄗㄞˇ,,,,,,
0664,嵇,ㄐ丨,,,,,,
0665,嵯,ㄘㄨㄛˊ,,,,,,
0666,嵬,ㄨㄟˊ,,,,,,
0667,嶄,ㄓㄢˇ,,,,,,
0668,嵽,ㄉ丨ㄝˊ,,,,,,
0669,嶁,ㄌㄡˇ,,,,,,
0670,嶙,ㄌ丨ㄣˊ,,,,,,
0671,嶡,ㄍㄨㄟˋ,ㄐㄩㄝˊ,,,,,
0672,嶠,ㄐ丨ㄠˋ,,,,,,
0673,嶕,ㄐ丨ㄠ,,,,,,
0674,嶮,ㄒ丨ㄢˇ,,,,,,
0675,嶨,ㄒㄩㄝˊ,,,,,,
0676,嶸,ㄖㄨㄥˊ,,,,,,
0677,嶼,ㄩˇ,,,,,,
0678,嶷,丨ˊ,ㄋ丨ˋ,,,,,
0679,巀,ㄐ丨ㄝˊ,,,,,,
0680,巫,ㄨ,,,,,,
0681,差,ㄔㄚ,ㄔㄞ,ㄘ,ㄘㄨㄛ,,,
0682,巽,ㄒㄩㄣˋ,,,,,,
0683,帆,ㄈㄢˊ,,,,,,
0684,帔,ㄆㄟˋ,,,,,,
0685,帗,ㄈㄨˊ,,,,,,
0686,帖,ㄊ丨ㄝˇ,,,,,,
0687,帕,ㄆㄚˋ,,,,,,
0688,帑,ㄊㄤˇ,,,,,,
0689,帥,ㄕㄨㄞˋ,,,,,,
0690,帨,ㄕㄨㄟˋ,,,,,,
0691,帴,ㄐ丨ㄢˇ,ㄘㄢˊ,,,,,
0692,幅,ㄈㄨˊ,ㄅ丨,,,,,
0693,幏,ㄐ丨ㄚˋ,,,,,,
0694,幎,ㄇ丨ˋ,,,,,,
0695,幕,ㄇㄨˋ,,,,,,
0696,幓,ㄕㄣ,,,,,,
0697,幢,ㄔㄨㄤˊ,,,,,,
0698,幟,ㄓˋ,,,,,,
0699,幬,ㄉㄠˋ,ㄔㄡˊ,,,,,
0700,幪,ㄇㄥˊ,,,,,,
0701,平,ㄆ丨ㄥˊ,ㄆ丨ㄢˊ,,,,,
0702,并,ㄅ丨ㄥˋ,ㄅ丨ㄥ,,,,,
0703,年,ㄋ丨ㄢˊ,,,,,,
0704,幹,ㄍㄢˋ,ㄏㄢˊ,,,,,
0705,幼,丨ㄡˋ,,,,,,
0706,幾,ㄐ丨ˇ,ㄐ丨,,,,,
0707,广,丨ㄢˇ,,,,,,
0708,庋,ㄐ丨ˇ,,,,,,
0709,庌,丨ㄚˇ,,,,,,
0710,庉,ㄉㄨㄣˋ,,,,,,
0711,底,ㄉ丨ˇ,,,,,,
0712,度,ㄉㄨˋ,ㄉㄨㄛˋ,,,,,
0713,庫,ㄎㄨˋ,,,,,,
0714,庨,ㄒ丨ㄠ,,,,,,
0715,庮,丨ㄡˇ,,,,,,
0716,庬,ㄇㄤˊ,,,,,,
0717,庭,ㄊ丨ㄥˊ,,,,,,
0718,康,ㄎㄤ,,,,,,
0719,庸,ㄩㄥ,,,,,,
0720,庱,ㄔㄥ,,,,,,
0721,庶,ㄕㄨˋ,,,,,,
0722,庹,ㄊㄨㄛˇ,,,,,,
0723,庳,ㄅ丨ˋ,ㄅㄟ,,,,,
0724,廁,ㄘㄜˋ,,,,,,
0725,廌,ㄓˋ,,,,,,
0726,廈,ㄒ丨ㄚˋ,,,,,,
0727,廋,ㄙㄡ,,,,,,
0728,廆,ㄍㄨㄟ,,,,,,
0729,廑,ㄐ丨ㄣˇ,,,,,,
0730,廖,ㄌ丨ㄠˋ,,,,,,
0731,廎,ㄑ丨ㄥˇ,,,,,,
0732,廙,丨ˋ,,,,,,
0733,廣,ㄍㄨㄤˇ,,,,,,
0734,廞,ㄑ丨ㄣ,,,,,,
0735,廡,ㄨˇ,,,,,,
0736,廦,ㄅ丨ˋ,,,,,,
0737,廨,ㄒ丨ㄝˋ,,,,,,
0738,龐,ㄆㄤˊ,,,,,,
0739,廬,ㄌㄨˊ,,,,,,
0740,廷,ㄊ丨ㄥˊ,,,,,,
0741,弁,ㄅ丨ㄢˋ,ㄆㄢˊ,,,,,
0742,异,丨ˋ,,,,,,
0743,弄,ㄋㄨㄥˋ,ㄌㄨㄥˋ,,,,,
0744,弅,ㄈㄣˊ,,,,,,
0745,弇,丨ㄢˇ,,,,,,
0746,弊,ㄅ丨ˋ,,,,,,
0747,式,ㄕˋ,,,,,,
0748,弔,ㄉ丨ㄠˋ,,,,,,
0749,引,丨ㄣˇ,,,,,,
0750,弗,ㄈㄨˊ,,,,,,
0751,弛,ㄔˊ,,,,,,
0752,弟,ㄉ丨ˋ,,,,,,
0753,弧,ㄏㄨˊ,,,,,,
0754,弮,ㄑㄩㄢ,,,,,,
0755,張,ㄓㄤ,,,,,,
0756,強,ㄑ丨ㄤˊ,ㄑ丨ㄤˇ,ㄐ丨ㄤˋ,,,,
0757,弸,ㄆㄥˊ,,,,,,
0758,彀,ㄍㄡˋ,,,,,,
0759,彆,ㄅ丨ㄝˋ,,,,,,
0760,彉,ㄎㄨㄛˋ,,,,,,
0761,彈,ㄉㄢˋ,ㄊㄢˊ,,,,,
0762,彊,ㄑ丨ㄤˊ,ㄑ丨ㄤˇ,ㄐ丨ㄤˋ,,,,
0763,彌,ㄇ丨ˊ,,,,,,
0764,彗,ㄏㄨㄟˋ,,,,,,
0765,彙,ㄏㄨㄟˋ,,,,,,
0766,彭,ㄆㄥˊ,,,,,,
0767,彯,ㄆ丨ㄠ,,,,,,
0768,彴,ㄓㄨㄛˊ,ㄅㄛˊ,,,,,
0769,彷,ㄆㄤˊ,ㄈㄤˇ,,,,,
0770,待,ㄉㄞˋ,ㄉㄞ,,,,,
0771,徊,ㄏㄨㄞˊ,,,,,,
0772,徇,ㄒㄩㄣˋ,,,,,,
0773,徠,ㄌㄞˊ,ㄌㄞˋ,,,,,
0774,得,ㄉㄜˊ,ㄉㄟˇ,‧ㄉㄜ,,,,
0775,從,ㄘㄨㄥˊ,ㄗㄨㄥˋ,ㄘㄨㄥ,ㄗㄨㄥ,,,
0776,徘,ㄆㄞˊ,,,,,,
0777,御,ㄩˋ,,,,,,
0778,徧,ㄅ丨ㄢˋ,,,,,,
0779,徦,ㄐ丨ㄚˇ,,,,,,
0780,復,ㄈㄨˋ,,,,,,
0781,徬,ㄆㄤˊ,,,,,,
0782,微,ㄨㄟˊ,,,,,,
0783,徯,ㄒ丨,,,,,,
0784,徵,ㄓㄥ,ㄓˇ,,,,,
0785,徼,ㄐ丨ㄠˋ,ㄐ丨ㄠ,,,,,
0786,忘,ㄨㄤˋ,,,,,,
0787,忕,ㄕˋ,,,,,,
0788,忔,ㄑ丨ˋ,丨ˋ,,,,,
0789,忒,ㄊㄜˋ,ㄊㄜ,,,,,
0790,忍,ㄖㄣˇ,,,,,,
0791,忨,ㄨㄢˊ,,,,,,
0792,忸,ㄋ丨ㄡˇ,,,,,,
0793,忮,ㄓˋ,,,,,,
0794,忤,ㄨˇ,,,,,,
0795,忯,ㄑ丨ˊ,,,,,,
0796,忳,ㄊㄨㄣˊ,,,,,,
0797,忪,ㄓㄨㄥ,ㄙㄨㄥ,,,,,
0798,忝,ㄊ丨ㄢˇ,,,,,,
0799,怫,ㄈㄨˊ,,,,,,
0800,怔,ㄓㄥ,,,,,,
0801,怲,ㄅ丨ㄥˇ,,,,,,
0802,怯,ㄑㄩㄝˋ,,,,,,
0803,怵,ㄔㄨˋ,,,,,,
0804,怖,ㄅㄨˋ,,,,,,
0805,怚,ㄐㄩˋ,,,,,,
0806,怛,ㄉㄚˊ,,,,,,
0807,怞,ㄔㄡˊ,,,,,,
0808,怏,丨ㄤˋ,,,,,,
0809,怗,ㄓㄢ,,,,,,
0810,怢,ㄊㄨˊ,,,,,,
0811,怍,ㄗㄨㄛˋ,,,,,,
0812,怐,ㄍㄡˋ,,,,,,
0813,怕,ㄆㄚˋ,,,,,,
0814,怮,丨ㄡ,,,,,,
0815,怜,ㄌ丨ㄥˊ,,,,,,
0816,思,ㄙ,ㄙㄞ,,,,,
0817,怠,ㄉㄞˋ,,,,,,
0818,怨,ㄩㄢˋ,,,,,,
0819,怎,ㄗㄣˇ,,,,,,
0820,怒,ㄋㄨˋ,,,,,,
0821,恔,ㄒ丨ㄠˋ,,,,,,
0822,恃,ㄕˋ,,,,,,
0823,恉,ㄓˇ,,,,,,
0824,恢,ㄏㄨㄟ,,,,,,
0825,恆,ㄏㄥˊ,,,,,,
0826,恫,ㄊㄨㄥ,ㄉㄨㄥˋ,,,,,
0827,恌,ㄊ丨ㄠ,,,,,,
0828,恀,ㄔˇ,,,,,,
0829,恂,ㄒㄩㄣˊ,,,,,,
0830,恪,ㄎㄜˋ,,,,,,
0831,恣,ㄗˋ,,,,,,
0832,恝,ㄐ丨ㄚˊ,,,,,,
0833,恚,ㄏㄨㄟˋ,,,,,,
0834,恐,ㄎㄨㄥˇ,,,,,,
0835,恁,ㄖㄣˋ,,,,,,
0836,悢,ㄌ丨ㄤˋ,,,,,,
0837,悌,ㄊ丨ˋ,,,,,,
0838,悈,ㄐ丨ㄝˋ,,,,,,
0839,悖,ㄅㄟˋ,,,,,,
0840,悚,ㄙㄨㄥˇ,,,,,,
0841,悝,ㄎㄨㄟ,,,,,,
0842,悁,ㄐㄩㄢˋ,,,,,,
0843,悛,ㄑㄩㄢ,,,,,,
0844,悔,ㄏㄨㄟˇ,,,,,,
0845,悗,ㄇㄢˊ,,,,,,
0846,悇,ㄊㄨˊ,,,,,,
0847,悠,丨ㄡ,,,,,,
0848,悹,ㄍㄨㄢˇ,,,,,,
0849,悾,ㄎㄨㄥ,,,,,,
0850,惇,ㄉㄨㄣ,,,,,,
0851,悴,ㄘㄨㄟˋ,,,,,,
0852,惓,ㄑㄩㄢˊ,,,,,,
0853,惔,ㄊㄢˊ,,,,,,
0854,惙,ㄔㄨㄛˋ,,,,,,
0855,悽,ㄑ丨,,,,,,
0856,惏,ㄌㄢˊ,,,,,,
0857,惝,ㄔㄤˇ,,,,,,
0858,惆,ㄔㄡˊ,,,,,,
0859,惛,ㄏㄨㄣ,,,,,,
0860,惀,ㄌㄨㄣˊ,,,,,,
0861,惢,ㄙㄨㄛˇ,,,,,,
0862,悶,ㄇㄣˋ,ㄇㄣ,,,,,
0863,惡,ㄜˋ,ㄜˇ,ㄨˋ,ㄨ,,,
0864,意,丨ˋ,,,,,,
0865,惲,ㄩㄣˋ,,,,,,
0866,愖,ㄔㄣˊ,,,,,,
0867,愓,ㄕㄤ,,,,,,
0868,惺,ㄒ丨ㄥ,,,,,,
0869,愒,ㄎㄞˋ,,,,,,
0870,愕,ㄜˋ,,,,,,
0871,愣,ㄌㄥˋ,,,,,,
0872,惴,ㄓㄨㄟˋ,,,,,,
0873,惾,ㄗㄨㄥ,,,,,,
0874,愀,ㄑ丨ㄠˇ,,,,,,
0875,惶,ㄏㄨㄤˊ,,,,,,
0876,愉,ㄩˊ,,,,,,
0877,感,ㄍㄢˇ,,,,,,
0878,愁,ㄔㄡˊ,,,,,,
0879,愈,ㄩˋ,,,,,,
0880,慨,ㄎㄞˇ,,,,,,
0881,慊,ㄑ丨ㄢˋ,ㄑ丨ㄝˋ,,,,,
0882,慅,ㄘㄠˇ,,,,,,
0883,慌,ㄏㄨㄤ,,,,,,
0884,慍,ㄩㄣˋ,,,,,,
0885,愾,ㄎㄞˋ,,,,,,
0886,愴,ㄔㄨㄤˋ,,,,,,
0887,慷,ㄎㄤ,,,,,,
0888,慵,ㄩㄥ,,,,,,
0889,慒,ㄘㄨㄥˊ,ㄗㄠ,,,,,
0890,慓,ㄆ丨ㄠˋ,,,,,,
0891,慬,ㄑ丨ㄣˊ,,,,,,
0892,慴,ㄓㄜˊ,,,,,,
0893,憀,ㄌ丨ㄠˊ,,,,,,
0894,慺,ㄌㄡˊ,,,,,,
0895,慔,ㄇㄨˋ,,,,,,
0896,慘,ㄘㄢˇ,,,,,,
0897,慥,ㄗㄠˋ,,,,,,
0898,慟,ㄊㄨㄥˋ,,,,,,
0899,慶,ㄑ丨ㄥˋ,,,,,,
0900,憃,ㄔㄨㄥ,,,,,,
0901,慹,ㄓˊ,,,,,,
0902,慝,ㄊㄜˋ,,,,,,
0903,憲,ㄒ丨ㄢˋ,,,,,,
0904,憧,ㄔㄨㄥ,,,,,,
0905,憐,ㄌ丨ㄢˊ,,,,,,
0906,憪,ㄒ丨ㄢˊ,,,,,,
0907,憛,ㄊㄢˊ,,,,,,
0908,憭,ㄌ丨ㄠˊ,,,,,,
0909,憚,ㄉㄢˋ,,,,,,
0910,憒,ㄎㄨㄟˋ,,,,,,
0911,憮,ㄨˇ,,,,,,
0912,憍,ㄐ丨ㄠ,,,,,,
0913,憨,ㄏㄢ,,,,,,
0914,憖,丨ㄣˋ,,,,,,
0915,憋,ㄅ丨ㄝ,,,,,,
0916,憊,ㄅㄟˋ,,,,,,
0917,懍,ㄌ丨ㄣˇ,,,,,,
0918,憾,ㄏㄢˋ,,,,,,
0919,懆,ㄘㄠˇ,,,,,,
0920,憹,ㄋㄨㄥˊ,ㄋㄠˊ,,,,,
0921,懅,ㄐㄩˋ,,,,,,
0922,懁,ㄒㄩㄢ,,,,,,
0923,懈,ㄒ丨ㄝˋ,,,,,,
0924,憿,ㄐ丨ㄠˇ,,,,,,
0925,懊,ㄠˋ,,,,,,
0926,憸,ㄒ丨ㄢ,,,,,,
0927,應,丨ㄥ,丨ㄥˋ,,,,,
0928,懋,ㄇㄠˋ,,,,,,
0929,憼,ㄐ丨ㄥˇ,,,,,,
0930,懣,ㄇㄣˋ,,,,,,
0931,懠,ㄑ丨ˊ,,,,,,
0932,懦,ㄋㄨㄛˋ,,,,,,
0933,懞,ㄇㄥˊ,,,,,,
0934,懭,ㄎㄨㄤˇ,,,,,,
0935,懮,丨ㄡˇ,,,,,,
0936,懰,ㄌ丨ㄡˊ,,,,,,
0937,懫,ㄓˋ,,,,,,
0938,懶,ㄌㄢˇ,,,,,,
0939,懵,ㄇㄥˊ,,,,,,
0940,懾,ㄓㄜˊ,,,,,,
0941,懽,ㄏㄨㄢ,,,,,,
0942,懿,丨ˋ,,,,,,
0943,戁,ㄋㄢˇ,,,,,,
0944,戄,ㄐㄩㄝˊ,,,,,,
0945,戇,ㄓㄨㄤˋ,ㄍㄤˋ,,,,,
0946,戊,ㄨˋ,,,,,,
0947,我,ㄨㄛˇ,,,,,,
0948,或,ㄏㄨㄛˋ,,,,,,
0949,戔,ㄐ丨ㄢ,,,,,,
0950,戕,ㄑ丨ㄤˊ,,,,,,
0951,戚,ㄑ丨,,,,,,
0952,戣,ㄎㄨㄟˊ,,,,,,
0953,戡,ㄎㄢ,,,,,,
0954,戧,ㄑ丨ㄤˋ,,,,,,
0955,戭,丨ㄣˇ,,,,,,
0956,戮,ㄌㄨˋ,,,,,,
0957,戲,ㄒ丨ˋ,ㄏㄨ,,,,,
0958,戽,ㄏㄨˋ,,,,,,
0959,房,ㄈㄤˊ,,,,,,
0960,戾,ㄌ丨ˋ,,,,,,
0961,扃,ㄐㄩㄥ,,,,,,
0962,扁,ㄅ丨ㄢˇ,ㄆ丨ㄢ,,,,,
0963,扆,丨ˇ,,,,,,
0964,扇,ㄕㄢˋ,ㄕㄢ,,,,,
0965,扎,ㄓㄚˊ,ㄓㄚ,,,,,
0966,打,ㄉㄚˇ,,,,,,
0967,扐,ㄌㄜˋ,,,,,,
0968,扔,ㄖㄥ,,,,,,
0969,扒,ㄅㄚ,ㄆㄚˊ,,,,,
0970,扞,ㄏㄢˋ,,,,,,
0971,扜,ㄩ,,,,,,
0972,扛,ㄍㄤ,ㄎㄤˊ,,,,,
0973,扡,丨ˇ,,,,,,
0974,扤,ㄨˋ,,,,,,
0975,扠,ㄔㄚ,ㄓㄚˇ,,,,,
0976,扣,ㄎㄡˋ,,,,,,
0977,扢,ㄒ丨ˋ,ㄍㄨˇ,,,,,
0978,承,ㄔㄥˊ,,,,,,
0979,抌,ㄓㄣˇ,,,,,,
0980,抆,ㄨㄣˋ,,,,,,
0981,扶,ㄈㄨˊ,,,,,,
0982,扭,ㄋ丨ㄡˇ,,,,,,
0983,把,ㄅㄚˇ,ㄅㄚˋ,,,,,
0984,批,ㄆ丨,,,,,,
0985,找,ㄓㄠˇ,,,,,,
0986,扳,ㄅㄢ,,,,,,
0987,抇,ㄍㄨˇ,,,,,,
0988,扱,ㄒ丨,,,,,,
0989,投,ㄊㄡˊ,,,,,,
0990,折,ㄓㄜˊ,ㄕㄜˊ,ㄓㄜ,,,,
0991,抓,ㄓㄨㄚ,ㄔㄨㄚˇ,,,,,
0992,扮,ㄅㄢˋ,,,,,,
0993,抭,丨ㄠˇ,,,,,,
0994,拉,ㄌㄚ,,,,,,
0995,拌,ㄅㄢˋ,,,,,,
0996,抨,ㄆㄥ,,,,,,
0997,抿,ㄇ丨ㄣˇ,,,,,,
0998,拂,ㄈㄨˊ,,,,,,
0999,抹,ㄇㄛˇ,ㄇㄛˋ,,,,,
1000,拒,ㄐㄩˋ,,,,,,
1001,抾,ㄑ丨ㄝˋ,,,,,,
1002,抴,丨ㄝˋ,,,,,,
1003,招,ㄓㄠ,,,,,,
1004,拓,ㄊㄨㄛˋ,ㄊㄚˋ,,,,,
1005,拋,ㄆㄠ,,,,,,
1006,披,ㄆ丨,,,,,,
1007,拔,ㄅㄚˊ,,,,,,
1008,拇,ㄇㄨˇ,,,,,,
1009,押,丨ㄚ,,,,,,
1010,拈,ㄋ丨ㄢˊ,,,,,,
1011,拙,ㄓㄨㄛˊ,,,,,,
1012,拚,ㄆㄢˋ,,,,,,
1013,抱,ㄅㄠˋ,,,,,,
1014,拖,ㄊㄨㄛ,,,,,,
1015,拘,ㄐㄩ,,,,,,
1016,拍,ㄆㄞ,,,,,,
1017,抵,ㄉ丨ˇ,,,,,,
1018,拗,ㄠˋ,ㄋ丨ㄡˋ,ㄠˇ,,,,
1019,拆,ㄔㄞ,,,,,,
1020,抮,ㄓㄣˇ,,,,,,
1021,挈,ㄑ丨ㄝˋ,,,,,,
1022,拲,ㄍㄨㄥˇ,,,,,,
1023,挖,ㄨㄚ,,,,,,
1024,挑,ㄊ丨ㄠ,ㄊ丨ㄠˇ,,,,,
1025,挂,ㄍㄨㄚˋ,,,,,,
1026,拮,ㄐ丨ㄝˊ,,,,,,
1027,指,ㄓˇ,,,,,,
1028,拽,ㄓㄨㄞˋ,,,,,,
1029,挏,ㄊㄨㄥˊ,,,,,,
1030,拸,ㄔˇ,,,,,,
1031,括,ㄍㄨㄚ,ㄎㄨㄛˋ,,,,,
1032,挌,ㄍㄜˊ,,,,,,
1033,拶,ㄗㄚˊ,ㄗㄢˇ,,,,,
1034,拴,ㄕㄨㄢ,,,,,,
1035,拾,ㄕˊ,ㄕㄜˋ,,,,,
1036,挐,ㄖㄨˊ,,,,,,
1037,拼,ㄆ丨ㄣ,,,,,,
1038,捖,ㄨㄢˊ,,,,,,
1039,挲,ㄙㄨㄛ,,,,,,
1040,挩,ㄕㄨㄟˋ,,,,,,
1041,捄,ㄑ丨ㄡˊ,,,,,,
1042,捕,ㄅㄨˇ,,,,,,
1043,捂,ㄨˇ,,,,,,
1044,挾,ㄒ丨ㄚˊ,,,,,,
1045,振,ㄓㄣˋ,,,,,,
1046,捎,ㄕㄠ,ㄕㄠˋ,,,,,
1047,捍,ㄏㄢˋ,,,,,,
1048,捐,ㄐㄩㄢ,,,,,,
1049,捌,ㄅㄚ,,,,,,
1050,捋,ㄌㄜˋ,ㄌㄩˇ,ㄌㄨㄛ,,,,
1051,捊,ㄆㄡˊ,,,,,,
1052,挼,ㄖㄨㄛˊ,,,,,,
1053,挫,ㄘㄨㄛˋ,,,,,,
1054,挨,ㄞ,,,,,,
1055,捘,ㄐㄩㄣˋ,,,,,,
1056,捁,ㄐ丨ㄠˇ,,,,,,
1057,挺,ㄊ丨ㄥˇ,,,,,,
1058,捔,ㄐㄩㄝˊ,,,,,,
