流水號,國字,審定音一,審定音二,審定音三,審定音四,審定音五,審定音六,
0201,削,ㄒㄩㄝˋ,ㄒ丨ㄠ,,,,,
0202,剖,ㄆㄡˇ,,,,,,
0203,剠,ㄑ丨ㄥˊ,,,,,,
0204,剡,丨ㄢˇ,ㄕㄢˋ,,,,,
0205,剗,ㄔㄢˇ,,,,,,
0206,剔,ㄊ丨,,,,,,
0207,剝,ㄅㄛ,,,,,,
0208,副,ㄈㄨˋ,ㄆ丨ˋ,,,,,
0209,剬,ㄉㄨㄢ,,,,,,
0210,剴,ㄎㄞˇ,,,,,,
0211,創,ㄔㄨㄤˋ,ㄔㄨㄤ,,,,,
0212,剸,ㄊㄨㄢˊ,,,,,,
0213,剽,ㄆ丨ㄠˋ,,,,,,
0214,剿,ㄐ丨ㄠˇ,,,,,,
0215,劃,ㄏㄨㄚˋ,ㄏㄨㄚˊ,,,,,
0216,劈,ㄆ丨,,,,,,
0217,劇,ㄐㄩˋ,,,,,,
0218,劊,ㄎㄨㄞˋ,,,,,,
0219,劙,ㄌ丨ˊ,,,,,,
0220,勁,ㄐ丨ㄥˋ,,,,,,
0221,勑,ㄌㄞˋ,,,,,,
0222,務,ㄨˋ,,,,,,
0223,勘,ㄎㄢ,,,,,,
0224,勒,ㄌㄜˋ,ㄌㄟ,,,,,
0225,勞,ㄌㄠˊ,ㄌㄠˋ,,,,,
0226,勝,ㄕㄥˋ,ㄕㄥ,,,,,
0227,募,ㄇㄨˋ,,,,,,
0228,勦,ㄐ丨ㄠˇ,ㄔㄠ,,,,,
0229,勷,ㄖㄤˊ,,,,,,
0230,勺,ㄕㄠˊ,ㄓㄨㄛˊ,,,,,
0231,勾,ㄍㄡ,ㄍㄡˋ,,,,,
0232,包,ㄅㄠ,,,,,,
0233,化,ㄏㄨㄚˋ,ㄏㄨㄚ,,,,,
0234,北,ㄅㄟˇ,,,,,,
0235,匙,ㄔˊ,‧ㄕ,,,,,
0236,匡,ㄎㄨㄤ,,,,,,
0237,匪,ㄈㄟˇ,,,,,,
0238,匱,ㄎㄨㄟˋ,,,,,,
0239,匹,ㄆ丨ˇ,ㄆ丨,,,,,
0240,匽,丨ㄢˇ,,,,,,
0241,區,ㄑㄩ,ㄡ,,,,,
0242,匿,ㄋ丨ˋ,,,,,,
0243,午,ㄨˇ,‧ㄏㄨㄛ,,,,,
0244,半,ㄅㄢˋ,,,,,,
0245,卒,ㄗㄨˊ,ㄘㄨˋ,,,,,
0246,卓,ㄓㄨㄛˊ,,,,,,
0247,南,ㄋㄢˊ,ㄋㄚˊ,,,,,
0248,卡,ㄎㄚˇ,ㄑ丨ㄚˇ,,,,,
0249,占,ㄓㄢ,ㄓㄢˋ,,,,,
0250,卬,ㄤˊ,,,,,,
0251,卵,ㄌㄨㄢˇ,,,,,,
0252,卷,ㄐㄩㄢˋ,ㄐㄩㄢˇ,ㄑㄩㄢˊ,,,,
0253,厂,ㄏㄢˇ,ㄢ,,,,,
0254,厖,ㄇㄤˊ,,,,,,
0255,厘,ㄌ丨ˊ,ㄔㄢˊ,,,,,
0256,原,ㄩㄢˊ,,,,,,
0257,厜,ㄔㄨㄟˊ,,,,,,
0258,厭,丨ㄢˋ,丨ㄢ,,,,,
0259,厲,ㄌ丨ˋ,,,,,,
0260,厹,ㄖㄡˊ,ㄑ丨ㄡˊ,,,,,
0261,去,ㄑㄩˋ,,,,,,
0262,參,ㄘㄢ,ㄕㄣ,ㄘㄣ,,,,
0263,叉,ㄔㄚ,,,,,,
0264,反,ㄈㄢˇ,,,,,,
0265,取,ㄑㄩˇ,,,,,,
0266,叟,ㄙㄡˇ,,,,,,
0267,叢,ㄘㄨㄥˊ,,,,,,
0268,司,ㄙ,,,,,,
0269,可,ㄎㄜˇ,ㄎㄜˋ,,,,,
0270,召,ㄓㄠˋ,ㄕㄠˋ,,,,,
0271,叨,ㄊㄠ,ㄉㄠ,,,,,
0272,只,ㄓˇ,,,,,,
0273,台,ㄊㄞˊ,丨ˊ,,,,,
0274,句,ㄐㄩˋ,ㄍㄡˋ,ㄍㄡ,,,,
0275,吐,ㄊㄨˇ,ㄊㄨˋ,,,,,
0276,吃,ㄔ,ㄐ丨ˊ,,,,,
0277,各,ㄍㄜˋ,ㄍㄜˇ,,,,,
0278,合,ㄏㄜˊ,ㄍㄜˇ,,,,,
0279,吾,ㄨˊ,,,,,,
0280,否,ㄈㄡˇ,ㄆ丨ˇ,,,,,
0281,吭,ㄏㄤˊ,ㄎㄥ,,,,,
0282,吧,ㄅㄚ,‧ㄅㄚ,,,,,
0283,吱,ㄓ,,,,,,
0284,呀,丨ㄚ,‧丨ㄚ,ㄒ丨ㄚ,,,,
0285,呆,ㄉㄞ,,,,,,
0286,吶,ㄋㄚˋ,,,,,,
0287,吽,ㄏㄨㄥ,ㄏㄡˇ,,,,,
0288,呈,ㄔㄥˊ,,,,,,
0289,吹,ㄔㄨㄟ,,,,,,
0290,听,ㄊ丨ㄥ,ㄊ丨ㄥˋ,丨ㄣˇ,,,,
0291,吟,丨ㄣˊ,,,,,,
0292,告,ㄍㄠˋ,ㄍㄨˋ,,,,,
0293,含,ㄏㄢˊ,,,,,,
0294,咇,ㄅ丨ㄝˊ,ㄅ丨,,,,,
0295,味,ㄨㄟˋ,,,,,,
0296,呢,ㄋ丨ˊ,‧ㄋㄜ,,,,,
0297,呵,ㄏㄜ,ㄛ,,,,,
0298,咕,ㄍㄨ,,,,,,
0299,咁,ㄍㄢ,,,,,,
0300,咖,ㄎㄚ,,,,,,
0301,呺,ㄒ丨ㄠ,,,,,,
0302,呫,ㄓㄢ,ㄔㄜˋ,,,,,
0303,咄,ㄉㄨㄛˋ,,,,,,
0304,呼,ㄏㄨ,,,,,,
0305,咋,ㄗㄜˊ,,,,,,
0306,呴,ㄒㄩˇ,ㄏㄡ,,,,,
0307,呱,ㄍㄨ,ㄍㄨㄚ,,,,,
0308,和,ㄏㄜˊ,ㄏㄜˋ,ㄏㄨㄛˋ,ㄏㄢˋ,‧ㄏㄨㄛ,ㄏㄨˊ,
0309,咎,ㄐ丨ㄡˋ,ㄍㄠ,,,,,
0310,命,ㄇ丨ㄥˋ,,,,,,
0311,咸,ㄒ丨ㄢˊ,,,,,,
0312,咳,ㄎㄜˊ,ㄏㄞ,,,,,
0313,哏,ㄍㄣˊ,,,,,,
0314,哇,ㄨㄚ,,,,,,
0315,哄,ㄏㄨㄥ,ㄏㄨㄥˇ,,,,,
