序號,正體字,簡化字,音一,音二,音三,音四,音五,音六,統讀
221,庋,庋,ɡuǐ,,,,,,統讀
222,檜,桧,ɡuì,huì,,,,,
223,劊,刽,ɡuì,,,,,,統讀
224,聒,聒,ɡuō,,,,,,統讀
225,蟈,蝈,ɡuō,,,,,,統讀
226,過,过,ɡuò,ɡuō,,,,,
227,蝦,虾,há,xiā,,,,,
228,哈,哈,hǎ,hà,hā,,,,
229,汗,汗,hán,hàn,,,,,
230,巷,巷,hànɡ,xiànɡ,,,,,
231,號,号,háo,hào,,,,,
232,和,和,hè,huo,hé,huò,hàn,hú,
233,貉,貉,hé,háo,,,,,
234,壑,壑,hè,,,,,,統讀
235,褐,褐,hè,,,,,,統讀
236,喝,喝,hè,hē,,,,,
237,鶴,鹤,hè,,,,,,統讀
238,黑,黑,hēi,,,,,,統讀
239,亨,亨,hēnɡ,,,,,,統讀
240,橫,横,hénɡ,hènɡ,,,,,
241,訇,訇,hōnɡ,,,,,,統讀
242,虹,虹,hónɡ,jiànɡ,,,,,
243,訌,讧,hònɡ,,,,,,統讀
244,囫,囫,hú,,,,,,統讀
245,瑚,瑚,hú,,,,,,統讀
246,蝴,蝴,hú,,,,,,統讀
247,樺,桦,huà,,,,,,統讀
248,徊,徊,huái,,,,,,統讀
249,踝,踝,huái,,,,,,統讀
250,浣,浣,huàn,,,,,,統讀
251,黃,黄,huánɡ,,,,,,統讀
252,荒,荒,huanɡ,huānɡ,,,,,
253,誨,诲,huì,,,,,,統讀
254,賄,贿,huì,,,,,,統讀
255,會,会,huì,kuài,,,,,
256,混,混,hùn,hún,,,,,
257,蠖,蠖,huò,,,,,,統讀
258,霍,霍,huò,,,,,,統讀
259,豁,豁,huò,huō,huá,,,,
260,獲,获,huò,,,,,,統讀
261,羈,羁,jī,,,,,,統讀
262,擊,击,jī,,,,,,統讀
263,奇,奇,jī,qí,,,,,
264,芨,芨,jī,,,,,,統讀
265,緝,缉,jī,qī,,,,,
266,几,几,jī,,,,,,
267,幾,几,jī,jǐ,,,,,
268,圾,圾,jī,,,,,,統讀
269,戢,戢,jí,,,,,,統讀
270,疾,疾,jí,,,,,,統讀
271,汲,汲,jí（统续）,,,,,,統讀
272,棘,棘,jí,,,,,,統讀
273,藉,藉,jí,jiè,,,,,
274,嫉,嫉,jí,,,,,,統讀
275,脊,脊,jǐ,,,,,,統讀
276,紀,纪,jǐ,jì,,,,,
277,偈,偈,jì,jié,,,,,
