序號,字表別,大陸規範字,臺灣標準字一,臺灣標準字二,臺灣標準字三,臺灣標準字四
0600,一級字表,弄,弄,,,
0601,一級字表,麦,麥,,,
0602,一級字表,玖,玖,,,
0603,一級字表,玛,瑪,,,
0604,一級字表,形,形,,,
0605,一級字表,进,進,,,
0606,一級字表,戒,戒,,,
0607,一級字表,吞,吞,,,
0608,一級字表,远,遠,,,
0609,一級字表,违,違,,,
0610,一級字表,韧,韌,,,
0611,一級字表,运,運,,,
0612,一級字表,扶,扶,,,
0613,一級字表,抚,撫,,,
0614,一級字表,坛,壇,罈,壜,
0615,一級字表,技,技,,,
0616,一級字表,坏,壞,坏,,
0617,一級字表,抠,摳,,,
0618,一級字表,扰,擾,,,
0619,一級字表,扼,扼,,,
0620,一級字表,拒,拒,,,
0621,一級字表,找,找,,,
0622,一級字表,批,批,,,
0623,一級字表,址,址,,,
0624,一級字表,扯,扯,,,
0625,一級字表,走,走,,,
0626,一級字表,抄,抄,,,
0627,一級字表,贡,貢,,,
0628,一級字表,汞,汞,,,
0629,一級字表,坝,壩,,,
0630,一級字表,攻,攻,,,
0631,一級字表,赤,赤,,,
0632,一級字表,折,折,摺,,
0633,一級字表,抓,抓,,,
0634,一級字表,扳,扳,,,
0635,一級字表,抡,掄,,,
0636,一級字表,扮,扮,,,
0637,一級字表,抢,搶,,,
0638,一級字表,孝,孝,,,
0639,一級字表,坎,坎,,,
0640,一級字表,均,均,,,
0641,一級字表,抑,抑,,,
0642,一級字表,抛,拋,,,
0643,一級字表,投,投,,,
0644,一級字表,坟,墳,,,
0645,一級字表,坑,坑,,,
0646,一級字表,抗,抗,,,
0647,一級字表,坊,坊,,,
0648,一級字表,抖,抖,,,
0649,一級字表,护,護,,,
0650,一級字表,壳,殼,,,
0651,一級字表,志,志,誌,,
0652,一級字表,块,塊,,,
0653,一級字表,扭,扭,,,
0654,一級字表,声,聲,,,
0655,一級字表,把,把,,,
0656,一級字表,报,報,,,
0657,一級字表,拟,擬,儗,,
0658,一級字表,却,卻,,,
0659,一級字表,抒,抒,,,
0660,一級字表,劫,劫,,,
0661,一級字表,芙,芙,,,
0662,一級字表,芜,蕪,,,
0663,一級字表,苇,葦,,,
0664,一級字表,芽,芽,,,
0665,一級字表,花,花,,,
0666,一級字表,芹,芹,,,
0667,一級字表,芥,芥,,,
0668,一級字表,芬,芬,,,
0669,一級字表,苍,蒼,,,
0670,一級字表,芳,芳,,,
0671,一級字表,严,嚴,,,
0672,一級字表,芦,蘆,,,
0673,一級字表,芯,芯,,,
0674,一級字表,劳,勞,,,
0675,一級字表,克,克,剋,,
0676,一級字表,芭,芭,,,
0677,一級字表,苏,蘇,甦,囌,
0678,一級字表,杆,杆,桿,,
0679,一級字表,杠,杠,槓,,
0680,一級字表,杜,杜,,,
0681,一級字表,材,材,,,
0682,一級字表,村,村,,,
0683,一級字表,杖,杖,,,
0684,一級字表,杏,杏,,,
0685,一級字表,杉,杉,,,
0686,一級字表,巫,巫,,,
0687,一級字表,极,極,,,
0688,一級字表,李,李,,,
0689,一級字表,杨,楊,,,
0690,一級字表,求,求,,,
0691,一級字表,甫,甫,,,
0692,一級字表,匣,匣,,,
0693,一級字表,更,更,,,
0694,一級字表,束,束,,,
0695,一級字表,吾,吾,,,
0696,一級字表,豆,豆,荳,,
0697,一級字表,两,兩,,,
0698,一級字表,酉,酉,,,
0699,一級字表,丽,麗,,,
0700,一級字表,医,醫,,,
0701,一級字表,辰,辰,,,
0702,一級字表,励,勵,,,
0703,一級字表,否,否,,,
0704,一級字表,还,還,,,
0705,一級字表,尬,尬,,,
0706,一級字表,歼,殲,,,
0707,一級字表,来,來,,,
0708,一級字表,连,連,,,
0709,一級字表,轩,軒,,,
0710,一級字表,步,步,,,
0711,一級字表,卤,鹵,滷,,
0712,一級字表,坚,堅,,,
0713,一級字表,肖,肖,,,
0714,一級字表,旱,旱,,,
0715,一級字表,盯,盯,,,
0716,一級字表,呈,呈,,,
0717,一級字表,时,時,,,
0718,一級字表,吴,吳,,,
0719,一級字表,助,助,,,
0720,一級字表,县,縣,,,
0721,一級字表,里,裡,里,,
0722,一級字表,呆,呆,獃,,
0723,一級字表,吱,吱,,,
0724,一級字表,吠,吠,,,
0725,一級字表,呕,嘔,,,
0726,一級字表,园,園,,,
0727,一級字表,旷,曠,,,
0728,一級字表,围,圍,,,
0729,一級字表,呀,呀,,,
0730,一級字表,吨,噸,,,
0731,一級字表,足,足,,,
0732,一級字表,邮,郵,,,
0733,一級字表,男,男,,,
0734,一級字表,困,困,睏,,
0735,一級字表,吵,吵,,,
0736,一級字表,串,串,,,
0737,一級字表,员,員,,,
0738,一級字表,呐,呐,,,
0739,一級字表,听,聽,,,
0740,一級字表,吟,吟,,,
0741,一級字表,吩,吩,,,
0742,一級字表,呛,嗆,,,
0743,一級字表,吻,吻,,,
0744,一級字表,吹,吹,,,
0745,一級字表,呜,嗚,,,
0746,一級字表,吭,吭,,,
0747,一級字表,吧,吧,,,
0748,一級字表,邑,邑,,,
0749,一級字表,吼,吼,,,
0750,一級字表,囤,囤,,,
0751,一級字表,别,別,彆,,
0752,一級字表,吮,吮,,,
0753,一級字表,岖,嶇,,,
0754,一級字表,岗,崗,,,
0755,一級字表,帐,帳,,,
0756,一級字表,财,財,,,
0757,一級字表,针,針,鍼,,
0758,一級字表,钉,釘,,,
0759,一級字表,牡,牡,,,
0760,一級字表,告,告,,,
0761,一級字表,我,我,,,
0762,一級字表,乱,亂,,,
0763,一級字表,利,利,,,
0764,一級字表,秃,禿,,,
0765,一級字表,秀,秀,,,
0766,一級字表,私,私,,,
0767,一級字表,每,每,,,
0768,一級字表,兵,兵,,,
0769,一級字表,估,估,,,
0770,一級字表,体,體,,,
0771,一級字表,何,何,,,
0772,一級字表,佐,佐,,,
0773,一級字表,佑,佑,,,
0774,一級字表,但,但,,,
0775,一級字表,伸,伸,,,
0776,一級字表,佃,佃,,,
0777,一級字表,作,作,,,
0778,一級字表,伯,伯,,,
0779,一級字表,伶,伶,,,
0780,一級字表,佣,傭,佣,,
0781,一級字表,低,低,,,
