序號,字表別,大陸規範字,臺灣標準字一,臺灣標準字二,臺灣標準字三,臺灣標準字四
4317,二級字表,闾,閭,,,
4318,二級字表,闿,闓,,,
4319,二級字表,阂,閡,,,
4320,二級字表,羑,羑,,,
4321,二級字表,迸,迸,,,
4322,二級字表,籼,秈,,,
4323,二級字表,酋,酋,,,
4324,二級字表,炳,炳,,,
4325,二級字表,炻,炻,,,
4326,二級字表,炽,熾,,,
4327,二級字表,炯,炯,,,
4328,二級字表,烀,烀,,,
4329,二級字表,炷,炷,,,
4330,二級字表,烃,烴,,,
4331,二級字表,洱,洱,,,
4332,二級字表,洹,洹,,,
4333,二級字表,洧,洧,,,
4334,二級字表,洌,洌,,,
4335,二級字表,浃,浹,,,
4336,二級字表,洇,洇,,,
4337,二級字表,洄,洄,,,
4338,二級字表,洙,洙,,,
4339,二級字表,涎,涎,,,
4340,二級字表,洎,洎,,,
4341,二級字表,洫,洫,,,
4342,二級字表,浍,澮,,,
4343,二級字表,洮,洮,,,
4344,二級字表,洵,洵,,,
4345,二級字表,浒,滸,,,
4346,二級字表,浔,潯,,,
4347,二級字表,浕,濜,,,
4348,二級字表,洳,洳,,,
4349,二級字表,恸,慟,,,
4350,二級字表,恓,恓,,,
4351,二級字表,恹,懨,,,
4352,二級字表,恫,恫,,,
4353,二級字表,恺,愷,,,
4354,二級字表,恻,惻,,,
4355,二級字表,恂,恂,,,
4356,二級字表,恪,恪,,,
4357,二級字表,恽,惲,,,
4358,二級字表,宥,宥,,,
4359,二級字表,扃,扃,,,
4360,二級字表,衲,衲,,,
4361,二級字表,衽,衽,,,
4362,二級字表,衿,衿,,,
4363,二級字表,袂,袂,,,
4364,二級字表,祛,祛,,,
4365,二級字表,祜,祜,,,
4366,二級字表,祓,祓,,,
4367,二級字表,祚,祚,,,
4368,二級字表,诮,誚,,,
4369,二級字表,祗,祗,,,
4370,二級字表,祢,禰,,,
4371,二級字表,诰,誥,,,
4372,二級字表,诳,誑,,,
4373,二級字表,鸩,鴆,(酖),,
4374,二級字表,昶,昶,,,
4375,二級字表,郡,郡,,,
4376,二級字表,咫,咫,,,
4377,二級字表,弭,弭,,,
4378,二級字表,牁,牁,,,
4379,二級字表,胥,胥,,,
4380,二級字表,陛,陛,,,
4381,二級字表,陟,陟,,,
4382,二級字表,娅,婭,,,
4383,二級字表,姮,姮,,,
4384,二級字表,娆,嬈,,,
4385,二級字表,姝,姝,,,
4386,二級字表,姣,姣,,,
4387,二級字表,姘,姘,,,
4388,二級字表,姹,姹,,,
4389,二級字表,怼,懟,,,
4390,二級字表,羿,羿,,,
4391,二級字表,炱,炱,,,
4392,二級字表,矜,矜,,,
4393,二級字表,绔,絝,,,
4394,二級字表,骁,驍,,,
4395,二級字表,骅,驊,,,
4396,二級字表,绗,絎,,,
4397,二級字表,绛,絳,,,
4398,二級字表,骈,駢,,,
4399,二級字表,耖,耖,,,
4400,二級字表,挈,挈,,,
4401,二級字表,珥,珥,,,
4402,二級字表,珙,珙,,,
4403,二級字表,顼,頊,,,
4404,二級字表,珰,璫,,,
4405,二級字表,珩,珩,,,
4406,二級字表,珧,珧,,,
4407,二級字表,珣,珣,,,
4408,二級字表,珞,珞,,,
4409,二級字表,琤,琤,,,
4410,二級字表,珲,琿,,,
4411,二級字表,敖,敖,,,
4412,二級字表,恚,恚,,,
4413,二級字表,埔,埔,,,
4414,二級字表,埕,埕,,,
4415,二級字表,埘,塒,,,
4416,二級字表,埙,塤,壎,,
4417,二級字表,埚,堝,,,
4418,二級字表,挹,挹,,,
4419,二級字表,耆,耆,,,
4420,二級字表,耄,耄,,,
4421,二級字表,埒,埒,,,
4422,二級字表,捋,捋,,,
4423,二級字表,贽,贄,,,
4424,二級字表,垸,垸,,,
4425,二級字表,捃,捃,,,
4426,二級字表,盍,盍,,,
4427,二級字表,荸,荸,,,
4428,二級字表,莆,莆,,,
4429,二級字表,莳,蒔,,,
4430,二級字表,莴,萵,,,
4431,二級字表,莪,莪,,,
4432,二級字表,莠,莠,,,
4433,二級字表,莓,莓,,,
4434,二級字表,莜,蓧,,,
4435,二級字表,莅,蒞,,,
4436,二級字表,荼,荼,,,
4437,二級字表,莩,莩,,,
4438,二級字表,荽,荽,,,
4439,二級字表,莸,蕕,,,
4440,二級字表,荻,荻,,,
4441,二級字表,莘,莘,,,
4442,二級字表,莎,莎,,,
4443,二級字表,莞,莞,,,
4444,二級字表,莨,莨,,,
4445,二級字表,鸪,鴣,,,
4446,二級字表,莼,蓴,,,
4447,二級字表,栲,栲,,,
4448,二級字表,栳,栳,,,
4449,二級字表,郴,郴,,,
4450,二級字表,桓,桓,,,
4451,二級字表,桡,橈,,,
4452,二級字表,桎,桎,,,
4453,二級字表,桢,楨,,,
4454,二級字表,桤,榿,,,
4455,二級字表,梃,梃,,,
4456,二級字表,栝,栝,,,
4457,二級字表,桕,桕,,,
4458,二級字表,桁,桁,,,
4459,二級字表,桧,檜,,,
4460,二級字表,桅,桅,,,
4461,二級字表,栟,栟,,,
4462,二級字表,桉,桉,,,
4463,二級字表,栩,栩,,,
4464,二級字表,逑,逑,,,
4465,二級字表,逋,逋,,,
4466,二級字表,彧,彧,,,
4467,二級字表,鬲,鬲,,,
4468,二級字表,豇,豇,,,
4469,二級字表,酐,酐,,,
4470,二級字表,逦,邐,,,
4471,二級字表,厝,厝,,,
4472,二級字表,孬,孬,,,
4473,二級字表,砝,砝,,,
4474,二級字表,砹,砹,,,
4475,二級字表,砺,礪,,,
4476,二級字表,砧,砧,,,
4477,二級字表,砷,砷,,,
4478,二級字表,砟,砟,,,
4479,二級字表,砼,砼,,,
4480,二級字表,砥,砥,,,
4481,二級字表,砣,砣,,,
4482,二級字表,剞,剞,,,
4483,二級字表,砻,礱,,,
4484,二級字表,轼,軾,,,
4485,二級字表,轾,輊,,,
4486,二級字表,辂,輅,,,
4487,二級字表,鸫,鶇,,,
4488,二級字表,趸,躉,,,
4489,二級字表,龀,齔,,,
4490,二級字表,鸬,鸕,,,
4491,二級字表,虔,虔,,,
4492,二級字表,逍,逍,,,
4493,二級字表,眬,矓,,,
4494,二級字表,唛,嘜,,,
4495,二級字表,晟,晟,,,
4496,二級字表,眩,眩,,,
4497,二級字表,眙,眙,,,
4498,二級字表,哧,哧,,,
4499,二級字表,哽,哽,,,
4500,二級字表,唔,唔,,,
4501,二級字表,晁,晁,,,
4502,二級字表,晏,晏,,,
4503,二級字表,鸮,鴞,,,
4504,二級字表,趵,趵,,,
4505,二級字表,趿,趿,,,
4506,二級字表,畛,畛,,,
4507,二級字表,蚨,蚨,,,
4508,二級字表,蚜,蚜,,,
4509,二級字表,蚍,蚍,,,
4510,二級字表,蚋,蚋,,,
4511,二級字表,蚬,蜆,,,
4512,二級字表,蚝,蠔,,,
4513,二級字表,蚧,蚧,,,
4514,二級字表,唢,嗩,,,
4515,二級字表,圄,圄,,,
4516,二級字表,唣,唕,,,
4517,二級字表,唏,唏,,,
4518,二級字表,盎,盎,,,
4519,二級字表,唑,唑,,,
4520,二級字表,崂,嶗,,,
4521,二級字表,崃,崍,,,
4522,二級字表,罡,罡,,,
4523,二級字表,罟,罟,,,
4524,二級字表,峪,峪,,,
4525,二級字表,觊,覬,,,
4526,二級字表,赅,賅,,,
4527,二級字表,钰,鈺,,,
4528,二級字表,钲,鉦,,,
4529,二級字表,钴,鈷,,,
4530,二級字表,钵,缽,,,
4531,二級字表,钹,鈸,,,
4532,二級字表,钺,鉞,,,
4533,二級字表,钽,鉭,,,
4534,二級字表,钼,鉬,,,
4535,二級字表,钿,鈿,,,
4536,二級字表,铀,鈾,,,
4537,二級字表,铂,鉑,,,
4538,二級字表,铄,鑠,,,
4539,二級字表,铆,鉚,,,
4540,二級字表,铈,鈰,,,
4541,二級字表,铉,鉉,,,
4542,二級字表,铊,鉈,,,
4543,二級字表,铋,鉍,,,
4544,二級字表,铌,鈮,,,
4545,二級字表,铍,鈹,,,
4546,二級字表,䥽,䥽,,,
4547,二級字表,铎,鐸,,,
4548,二級字表,氩,氬,,,
4549,二級字表,氤,氤,,,
4550,二級字表,氦,氦,,,
4551,二級字表,毪,毪,,,
4552,二級字表,舐,舐,,,
4553,二級字表,秣,秣,,,
4554,二級字表,秫,秫,,,
4555,二級字表,盉,盉,,,
4556,二級字表,笄,笄,,,
4557,二級字表,笕,筧,,,
4558,二級字表,笊,笊,,,
4559,二級字表,笏,笏,,,
4560,二級字表,笆,笆,,,
4561,二級字表,俸,俸,,,
4562,二級字表,倩,倩,,,
4563,二級字表,俵,俵,,,
4564,二級字表,偌,偌,,,
4565,二級字表,俳,俳,,,
4566,二級字表,俶,俶,,,
4567,二級字表,倬,倬,,,
4568,二級字表,倏,倏,鯈,,
4569,二級字表,恁,恁,,,
4570,二級字表,倭,倭,,,
4571,二級字表,倪,倪,,,
4572,二級字表,俾,俾,,,
4573,二級字表,倜,倜,,,
4574,二級字表,隼,隼,,,
4575,二級字表,隽,雋,,,
4576,二級字表,倌,倌,,,
4577,二級字表,倥,倥,,,
4578,二級字表,臬,臬,,,
4579,二級字表,皋,皋,,,
4580,二級字表,郫,郫,,,
4581,二級字表,倨,倨,,,
4582,二級字表,衄,衄,,,
4583,二級字表,颀,頎,,,
4584,二級字表,徕,徠,,,
4585,二級字表,舫,舫,,,
4586,二級字表,釜,釜,,,
4587,二級字表,奚,奚,,,
4588,二級字表,衾,衾,,,
4589,二級字表,胯,胯,,,
4590,二級字表,胱,胱,,,
4591,二級字表,胴,胴,,,
4592,二級字表,胭,胭,,,
4593,二級字表,脍,膾,,,
4594,二級字表,胼,胼,,,
4595,二級字表,朕,朕,,,
4596,二級字表,脒,脒,,,
4597,二級字表,胺,胺,,,
4598,二級字表,鸱,鴟,,,
4599,二級字表,玺,璽,,,
4600,二級字表,鸲,鴝,,,
4601,二級字表,狷,狷,,,
4602,二級字表,猁,猁,,,
4603,二級字表,狳,狳,,,
4604,二級字表,猃,獫,,,
4605,二級字表,狺,狺,,,
4606,二級字表,逖,逖,,,
4607,二級字表,桀,桀,,,
4608,二級字表,袅,裊,嫋,嬝,
4609,二級字表,饽,餑,,,
4610,二級字表,凇,凇,,,
4611,二級字表,栾,欒,,,
4612,二級字表,挛,攣,,,
4613,二級字表,亳,亳,,,
4614,二級字表,疳,疳,,,
4615,二級字表,疴,痾,,,
4616,二級字表,疸,疸,,,
4617,二級字表,疽,疽,,,
4618,二級字表,痈,癰,,,
4619,二級字表,疱,皰,,,
4620,二級字表,痂,痂,,,
4621,二級字表,痉,痙,,,
4622,二級字表,衮,袞,,,
4623,二級字表,凋,凋,,,
4624,二級字表,颃,頏,,,
4625,二級字表,恣,恣,,,
4626,二級字表,旆,旆,,,
4627,二級字表,旄,旄,,,
4628,二級字表,旃,旃,,,
4629,二級字表,阃,閫,,,
4630,二級字表,阄,鬮,,,
4631,二級字表,訚,訚,,,
4632,二級字表,阆,閬,,,
4633,二級字表,恙,恙,,,
4634,二級字表,粑,粑,,,
4635,二級字表,朔,朔,,,
4636,二級字表,郸,鄲,,,
4637,二級字表,烜,烜,,,
4638,二級字表,烨,燁,,,
4639,二級字表,烩,燴,,,
4640,二級字表,烊,烊,,,
4641,二級字表,剡,剡,,,
4642,二級字表,郯,郯,,,
4643,二級字表,烬,燼,,,
4644,二級字表,涑,涑,,,
4645,二級字表,浯,浯,,,
4646,二級字表,涞,淶,,,
4647,二級字表,涟,漣,,,
4648,二級字表,娑,娑,,,
4649,二級字表,涅,涅,,,
4650,二級字表,涠,潿,,,
4651,二級字表,浞,浞,,,
4652,二級字表,涓,涓,,,
4653,二級字表,浥,浥,,,
4654,二級字表,涔,涔,,,
4655,二級字表,浜,浜,,,
4656,二級字表,浠,浠,,,
4657,二級字表,浣,浣,,,
4658,二級字表,浚,浚,,,
4659,二級字表,悚,悚,,,
4660,二級字表,悭,慳,,,
4661,二級字表,悝,悝,,,
4662,二級字表,悒,悒,,,
4663,二級字表,悌,悌,,,
4664,二級字表,悛,悛,,,
4665,二級字表,宸,宸,,,
4666,二級字表,窈,窈,,,
4667,二級字表,剜,剜,,,
4668,二級字表,诹,諏,,,
4669,二級字表,冢,冢,塚,,
4670,二級字表,诼,諑,,,
4671,二級字表,袒,袒,,,
4672,二級字表,袢,袢,,,
4673,二級字表,祯,禎,,,
4674,二級字表,诿,諉,,,
4675,二級字表,谀,諛,,,
4676,二級字表,谂,諗,,,
4677,二級字表,谄,諂,,,
4678,二級字表,谇,誶,,,
4679,二級字表,屐,屐,,,
4680,二級字表,屙,屙,,,
4681,二級字表,陬,陬,,,
4682,二級字表,勐,猛,,,
4683,二級字表,奘,奘,,,
4684,二級字表,牂,牂,,,
4685,二級字表,蚩,蚩,,,
4686,二級字表,陲,陲,,,
4687,二級字表,姬,姬,,,
4688,二級字表,娠,娠,,,
4689,二級字表,娌,娌,,,
4690,二級字表,娉,娉,,,
4691,二級字表,娲,媧,,,
4692,二級字表,娩,娩,,,
4693,二級字表,娴,嫻,,,
4694,二級字表,娣,娣,,,
4695,二級字表,娓,娓,,,
4696,二級字表,婀,婀,,,
4697,二級字表,畚,畚,,,
4698,二級字表,逡,逡,,,
4699,二級字表,绠,綆,,,
4700,二級字表,骊,驪,,,
4701,二級字表,绡,綃,,,
4702,二級字表,骋,騁,,,
4703,二級字表,绥,綏,,,
4704,二級字表,绦,絛,,,
4705,二級字表,绨,綈,,,
4706,二級字表,骎,駸,,,
4707,二級字表,邕,邕,,,
4708,二級字表,鸶,鷥,,,
4709,二級字表,彗,彗,,,
4710,二級字表,耜,耜,,,
4711,二級字表,焘,燾,,,
4712,二級字表,舂,舂,,,
4713,二級字表,琏,璉,,,
4714,二級字表,琇,琇,,,
4715,二級字表,麸,麩,,,
4716,二級字表,揶,揶,,,
4717,二級字表,埴,埴,,,
4718,二級字表,埯,垵,,,
4719,二級字表,捯,捯,,,
4720,二級字表,掳,擄,,,
4721,二級字表,掴,摑,,,
4722,二級字表,埸,埸,,,
4723,二級字表,埵,埵,,,
4724,二級字表,赧,赧,,,
4725,二級字表,埤,埤,,,
4726,二級字表,捭,捭,,,
4727,二級字表,逵,逵,,,
4728,二級字表,埝,墊,,,
4729,二級字表,堋,堋,,,
4730,二級字表,堍,堍,,,
4731,二級字表,掬,掬,,,
4732,二級字表,鸷,鷙,,,
4733,二級字表,掖,掖,,,
4734,二級字表,捽,捽,,,
4735,二級字表,掊,掊,,,
4736,二級字表,堉,堉,,,
4737,二級字表,掸,撣,,,
4738,二級字表,捩,捩,,,
4739,二級字表,掮,掮,,,
4740,二級字表,悫,愨,,,
4741,二級字表,埭,埭,,,
4742,二級字表,埽,埽,,,
4743,二級字表,掇,掇,,,
4744,二級字表,掼,摜,,,
4745,二級字表,聃,聃,,,
4746,二級字表,菁,菁,,,
4747,二級字表,萁,萁,,,
4748,二級字表,菘,菘,,,
4749,二級字表,堇,堇,,,
4750,二級字表,萘,萘,,,
4751,二級字表,萋,萋,,,
4752,二級字表,菽,菽,,,
4753,二級字表,菖,菖,,,
4754,二級字表,萜,萜,,,
4755,二級字表,萸,萸,,,
4756,二級字表,萑,萑,,,
4757,二級字表,棻,棻,,,
4758,二級字表,菔,菔,,,
4759,二級字表,菟,菟,,,
4760,二級字表,萏,萏,,,
4761,二級字表,萃,萃,,,
4762,二級字表,菏,菏,,,
4763,二級字表,菹,菹,,,
4764,二級字表,菪,菪,,,
4765,二級字表,菅,菅,,,
4766,二級字表,菀,菀,,,
4767,二級字表,萦,縈,,,
4768,二級字表,菰,菰,,,
4769,二級字表,菡,菡,,,
4770,二級字表,梵,梵,,,
4771,二級字表,梿,梿,,,
4772,二級字表,梏,梏,,,
4773,二級字表,觋,覡,,,
4774,二級字表,桴,桴,,,
4775,二級字表,桷,桷,,,
4776,二級字表,梓,梓,,,
4777,二級字表,棁,棁,,,
4778,二級字表,桫,桫,,,
4779,二級字表,棂,欞,,,
4780,二級字表,啬,嗇,,,
4781,二級字表,郾,郾,,,
4782,二級字表,匮,匱,,,
4783,二級字表,敕,敕,,,
4784,二級字表,豉,豉,,,
4785,二級字表,鄄,鄄,,,
4786,二級字表,酞,酞,,,
4787,二級字表,酚,酚,,,
4788,二級字表,戛,戛,,,
4789,二級字表,硎,硎,,,
4790,二級字表,硭,硭,,,
4791,二級字表,硒,硒,,,
4792,二級字表,硖,硤,,,
4793,二級字表,硗,磽,,,
4794,二級字表,硐,硐,,,
4795,二級字表,硇,硇,,,
4796,二級字表,硌,硌,,,
4797,二級字表,鸸,鴯,,,
4798,二級字表,瓠,瓠,,,
4799,二級字表,匏,匏,,,
4800,二級字表,厩,廄,,,
4801,二級字表,龚,龔,,,
4802,二級字表,殒,殞,,,
4803,二級字表,殓,殮,,,
4804,二級字表,殍,殍,,,
4805,二級字表,赉,賚,,,
4806,二級字表,雩,雩,,,
4807,二級字表,辄,輒,,,
4808,二級字表,堑,塹,,,
4809,二級字表,眭,眭,,,
4810,二級字表,眦,眥,,,
4811,二級字表,啧,嘖,,,
4812,二級字表,晡,晡,,,
4813,二級字表,晤,晤,,,
4814,二級字表,眺,眺,,,
4815,二級字表,眵,眵,,,
4816,二級字表,眸,眸,,,
4817,二級字表,圊,圊,,,
4818,二級字表,喏,喏,,,
4819,二級字表,喵,喵,,,
4820,二級字表,啉,啉,,,
4821,二級字表,勖,勖,,,
4822,二級字表,晞,晞,,,
4823,二級字表,唵,唵,,,
4824,二級字表,晗,晗,,,
4825,二級字表,冕,冕,,,
4826,二級字表,啭,囀,,,
4827,二級字表,畦,畦,,,
4828,二級字表,趺,趺,,,
4829,二級字表,啮,齧,,,
4830,二級字表,跄,蹌,,,
4831,二級字表,蚶,蚶,,,
4832,二級字表,蛄,蛄,,,
4833,二級字表,蛎,蠣,,,
4834,二級字表,蛆,蛆,,,
4835,二級字表,蚰,蚰,,,
4836,二級字表,蛊,蠱,,,
4837,二級字表,圉,圉,,,
4838,二級字表,蚱,蚱,,,
4839,二級字表,蛉,蛉,,,
4840,二級字表,蛏,蟶,,,
4841,二級字表,蚴,蚴,,,
4842,二級字表,啁,啁,,,
4843,二級字表,啕,啕,,,
4844,二級字表,唿,呼,,,
4845,二級字表,啐,啐,,,
4846,二級字表,唼,唼,,,
4847,二級字表,唷,唷,,,
4848,二級字表,啖,啖,啗,,
4849,二級字表,啵,啵,,,
4850,二級字表,啶,啶,,,
4851,二級字表,啷,啷,,,
4852,二級字表,唳,唳,,,
4853,二級字表,唰,唰,,,
4854,二級字表,啜,啜,,,
4855,二級字表,帻,幘,,,
4856,二級字表,崚,崚,,,
4857,二級字表,崦,崦,,,
4858,二級字表,帼,幗,,,
4859,二級字表,崮,崮,,,
4860,二級字表,崤,崤,,,
4861,二級字表,崆,崆,,,
4862,二級字表,赇,賕,,,
4863,二級字表,赈,賑,,,
4864,二級字表,赊,賒,,,
4865,二級字表,铑,銠,,,
4866,二級字表,铒,鉺,,,
4867,二級字表,铗,鋏,,,
4868,二級字表,铙,鐃,,,
4869,二級字表,铟,銦,,,
4870,二級字表,铠,鎧,,,
4871,二級字表,铡,鍘,,,
4872,二級字表,铢,銖,,,
4873,二級字表,铣,銑,,,
4874,二級字表,铤,鋌,,,
4875,二級字表,铧,鏵,,,
4876,二級字表,铨,銓,,,
4877,二級字表,铩,鎩,,,
4878,二級字表,铪,鉿,,,
4879,二級字表,铫,銚,,,
4880,二級字表,铬,鉻,,,
4881,二級字表,铮,錚,,,
4882,二級字表,铯,銫,,,
4883,二級字表,铰,鉸,,,
4884,二級字表,铱,銥,,,
4885,二級字表,铳,銃,,,
4886,二級字表,铵,銨,,,
4887,二級字表,铷,銣,,,
4888,二級字表,氪,氪,,,
4889,二級字表,牾,牾,,,
4890,二級字表,鸹,鴰,,,
4891,二級字表,秾,穠,,,
4892,二級字表,逶,逶,,,
4893,二級字表,笺,箋,牋,,
4894,二級字表,筇,筇,,,
4895,二級字表,笸,笸,,,
4896,二級字表,笪,笪,,,
4897,二級字表,笮,笮,,,
4898,二級字表,笠,笠,,,
4899,二級字表,笥,笥,,,
4900,二級字表,笤,笤,,,
4901,二級字表,笳,笳,,,
4902,二級字表,笾,籩,,,
4903,二級字表,笞,笞,,,
4904,二級字表,偾,僨,,,
4905,二級字表,偃,偃,,,
4906,二級字表,偕,偕,,,
4907,二級字表,偈,偈,,,
4908,二級字表,傀,傀,,,
4909,二級字表,偬,傯,,,
4910,二級字表,偻,僂,,,
4911,二級字表,皑,皚,,,
4912,二級字表,皎,皎,,,
4913,二級字表,鸻,鴴,,,
4914,二級字表,徜,徜,,,
4915,二級字表,舸,舸,,,
4916,二級字表,舻,艫,,,
4917,二級字表,舴,舴,,,
4918,二級字表,舷,舷,,,
4919,二級字表,龛,龕,,,
4920,二級字表,翎,翎,,,
4921,二級字表,脬,脬,,,
4922,二級字表,脘,脘,,,
4923,二級字表,脲,脲,,,
4924,二級字表,匐,匐,,,
4925,二級字表,猗,猗,,,
4926,二級字表,猡,玀,,,
4927,二級字表,猞,猞,,,
4928,二級字表,猝,猝,,,
4929,二級字表,斛,斛,,,
4930,二級字表,猕,獼,,,
4931,二級字表,馗,馗,,,
4932,二級字表,馃,餜,,,
4933,二級字表,馄,餛,,,
4934,二級字表,鸾,鸞,,,
4935,二級字表,孰,孰,,,
4936,二級字表,庹,庹,,,
4937,二級字表,庾,庾,,,
4938,二級字表,痔,痔,,,
4939,二級字表,痍,痍,,,
4940,二級字表,疵,疵,,,
4941,二級字表,翊,翊,,,
4942,二級字表,旌,旌,,,
4943,二級字表,旎,旎,,,
4944,二級字表,袤,袤,,,
4945,二級字表,阇,闍,,,
4946,二級字表,阈,閾,,,
4947,二級字表,阉,閹,,,
4948,二級字表,阊,閶,,,
4949,二級字表,阋,鬩,,,
4950,二級字表,阍,閽,,,
4951,二級字表,阏,閼,,,
4952,二級字表,羟,羥,,,
4953,二級字表,粝,糲,,,
4954,二級字表,粕,粕,,,
4955,二級字表,敝,敝,,,
4956,二級字表,焐,焐,,,
4957,二級字表,烯,烯,,,
4958,二級字表,焓,焓,,,
4959,二級字表,烽,烽,,,
4960,二級字表,焖,燜,,,
4961,二級字表,烷,烷,,,
4962,二級字表,焗,焗,,,
4963,二級字表,渍,漬,,,
4964,二級字表,渚,渚,,,
4965,二級字表,淇,淇,,,
4966,二級字表,淅,淅,,,
4967,二級字表,淞,淞,,,
4968,二級字表,渎,瀆,,,
4969,二級字表,涿,涿,,,
4970,二級字表,淖,淖,,,
4971,二級字表,挲,挲,,,
4972,二級字表,淠,淠,,,
4973,二級字表,涸,涸,,,
4974,二級字表,渑,澠,,,
4975,二級字表,淦,淦,,,
4976,二級字表,淝,淝,,,
4977,二級字表,淬,淬,,,
4978,二級字表,涪,涪,,,
4979,二級字表,淙,淙,,,
4980,二級字表,涫,涫,,,
4981,二級字表,渌,淥,,,
4982,二級字表,淄,淄,,,
4983,二級字表,惬,愜,,,
4984,二級字表,悻,悻,,,
4985,二級字表,悱,悱,,,
4986,二級字表,惝,惝,,,
4987,二級字表,惘,惘,,,
4988,二級字表,悸,悸,,,
4989,二級字表,惆,惆,,,
4990,二級字表,惚,惚,,,
4991,二級字表,惇,惇,,,
4992,二級字表,惮,憚,,,
4993,二級字表,窕,窕,,,
4994,二級字表,谌,諶,,,
4995,二級字表,谏,諫,,,
4996,二級字表,扈,扈,,,
4997,二級字表,皲,皸,,,
4998,二級字表,谑,謔,,,
4999,二級字表,裆,襠,,,
5000,二級字表,袷,袷,,,
5001,二級字表,裉,裉,,,
5002,二級字表,谒,謁,,,
5003,二級字表,谔,諤,,,
5004,二級字表,谕,諭,,,
5005,二級字表,谖,諼,,,
5006,二級字表,谗,讒,,,
5007,二級字表,谙,諳,,,
5008,二級字表,谛,諦,,,
5009,二級字表,谝,諞,,,
5010,二級字表,逯,逯,,,
5011,二級字表,郿,郿,,,
5012,二級字表,隈,隈,,,
5013,二級字表,粜,糶,,,
5014,二級字表,隍,隍,,,
5015,二級字表,隗,隗,,,
5016,二級字表,婧,婧,,,
5017,二級字表,婊,婊,,,
5018,二級字表,婕,婕,,,
5019,二級字表,娼,娼,,,
5020,二級字表,婢,婢,,,
5021,二級字表,婵,嬋,,,
5022,二級字表,胬,胬,,,
5023,二級字表,袈,袈,,,
5024,二級字表,翌,翌,,,
5025,二級字表,恿,恿,,,
5026,二級字表,欸,欸,,,
5027,二級字表,绫,綾,,,
5028,二級字表,骐,騏,,,
5029,二級字表,绮,綺,,,
5030,二級字表,绯,緋,,,
5031,二級字表,绱,緔,,,
5032,二級字表,骒,騍,,,
5033,二級字表,绲,緄,,,
5034,二級字表,骓,騅,,,
5035,二級字表,绶,綬,,,
5036,二級字表,绺,綹,,,
5037,二級字表,绻,綣,,,
5038,二級字表,绾,綰,,,
5039,二級字表,骖,驂,,,
5040,二級字表,缁,緇,,,
5041,二級字表,耠,耠,,,
5042,二級字表,琫,琫,,,
5043,二級字表,琵,琵,,,
5044,二級字表,琶,琶,,,
5045,二級字表,琪,琪,,,
5046,二級字表,瑛,瑛,,,
5047,二級字表,琦,琦,,,
5048,二級字表,琥,琥,,,
5049,二級字表,琨,琨,,,
5050,二級字表,靓,靚,,,
5051,二級字表,琰,琰,,,
5052,二級字表,琮,琮,,,
5053,二級字表,琯,琯,,,
5054,二級字表,琬,琬,,,
5055,二級字表,琛,琛,,,
5056,二級字表,琚,琚,,,
5057,二級字表,辇,輦,,,
5058,二級字表,鼋,黿,,,
5059,二級字表,揳,揳,,,
5060,二級字表,堞,堞,,,
5061,二級字表,搽,搽,,,
5062,二級字表,揸,摣,,,
5063,二級字表,揠,揠,,,
5064,二級字表,堙,堙,,,
5065,二級字表,趄,趄,,,
5066,二級字表,揖,揖,,,
5067,二級字表,颉,頡,,,
5068,二級字表,塄,塄,,,
5069,二級字表,揿,撳,,,
5070,二級字表,耋,耋,,,
5071,二級字表,揄,揄,,,
5072,二級字表,蛩,蛩,,,
5073,二級字表,蛰,蟄,,,
5074,二級字表,塆,壪,,,
5075,二級字表,摒,摒,,,
5076,二級字表,揆,揆,,,
5077,二級字表,掾,掾,,,
5078,二級字表,聒,聒,,,
5079,二級字表,葑,葑,,,
5080,二級字表,葚,葚,,,
5081,二級字表,靰,靰,,,
5082,二級字表,靸,靸,,,
5083,二級字表,葳,葳,,,
5084,二級字表,葺,葺,,,
5085,二級字表,葸,葸,,,
5086,二級字表,萼,萼,,,
5087,二級字表,葆,葆,,,
5088,二級字表,葩,葩,,,
5089,二級字表,葶,葶,,,
5090,二級字表,蒌,蔞,,,
5091,二級字表,萱,萱,,,
5092,二級字表,戟,戟,,,
5093,二級字表,葭,葭,,,
5094,二級字表,楮,楮,,,
5095,二級字表,棼,棼,,,
5096,二級字表,椟,櫝,,,
5097,二級字表,棹,棹,,,
5098,二級字表,椤,欏,,,
5099,二級字表,棰,棰,箠,,
5100,二級字表,赍,齎,,,
5101,二級字表,椋,椋,,,
5102,二級字表,椁,槨,,,
5103,二級字表,椪,椪,,,
5104,二級字表,棣,棣,,,
5105,二級字表,椐,椐,,,
5106,二級字表,鹁,鵓,,,
5107,二級字表,覃,覃,,,
5108,二級字表,酤,酤,,,
5109,二級字表,酢,酢,,,
5110,二級字表,酡,酡,,,
5111,二級字表,鹂,鸝,,,
5112,二級字表,厥,厥,,,
5113,二級字表,殚,殫,,,
5114,二級字表,殛,殛,,,
5115,二級字表,雯,雯,,,
5116,二級字表,雱,雱,,,
5117,二級字表,辊,輥,,,
5118,二級字表,辋,輞,,,
5119,二級字表,椠,槧,,,
5120,二級字表,辍,輟,,,
5121,二級字表,辎,輜,,,
5122,二級字表,斐,斐,,,
5123,二級字表,睄,睄,,,
5124,二級字表,睑,瞼,,,
5125,二級字表,睇,睇,,,
5126,二級字表,睃,睃,,,
5127,二級字表,戢,戢,,,
