臺灣詞,,,大陸詞,,,差異別
封面裡,13388,80281,封二,13374,80277,1
少年矯正學校,49394,59115,少年管教所,67707,7757,1
帕拉林匹克運動會,129825,128042,殘疾人奧運會,24266,81686,1
引子酶,123918,125658,引發酶,123986,125660,1
彈道飛彈,77404,126438,彈道導彈,85330,126647,1
後段班,15674,65820,慢班,17082,81646,1
快速道路,129837,128700,快速路,85565,127116,1
感應門,130078,133211,防盜儀,129250,133143,1
戶口名簿,17562,66732,戶口本,17561,79735,1
折光率,122510,121087,光焦度,111444,18805,1
抽取式磁碟,18390,67503,移動存儲器,32171,81562,1
救難包,121509,88067,防備包,45169,86997,1
數位照相機,68087,8468,數碼相機,20776,81419,1
數位相機,20752,68871,數碼照相機,68085,8469,1
數據機,20783,68931,調制解調器,95306,90966,1
易開罐,21441,63904,易拉罐,21436,79746,1
晶片,21723,69006,芯片,36814,80200,1
晶片卡,21724,10314,智能卡,21749,10951,1
智慧卡,21753,10948,智能卡,21749,10951,1
朋馳,124980,122887,奔馳,11503,64078,1
本氏液,127098,127976,本立德溶液,127157,127977,1
核子反應爐,22916,111588,反應堆,62662,7030,1
構形,88009,115749,構型,122503,121036,1
樣本數,124233,127139,樣本量,124283,127136,1
檔案傳輸協定,124016,126853,文件傳輸協議,124093,126360,1
歧音異義字,24096,69902,破讀字,31394,79728,1
殘障者,24277,80720,殘疾人,24265,80159,1
殘疾人士,122786,121671,殘疾人,24265,80159,1
每秒傳輸千位元數,124032,128120,每秒千比特,129829,128400,1
沒戲唱,25062,81498,沒戲,25061,81466,1
游標,26350,70046,光標,4106,80625,1
滑輪溜冰,122509,121042,輪滑,65878,85678,1
燒錄機,27931,70196,刻錄機,5601,80138,1
環境負載力,123696,129912,環境承載力,123845,129742,1
矽鋼,91490,93306,硅鋼,111478,94731,1
破音字,31362,70754,破讀字,31394,79728,1
空地稅,32396,70307,土地閒置稅,9520,80613,1
籃框,33127,112596,籃筐,92362,95382,1
網路症候群,34037,112687,網絡綜合徵,129076,121939,1
網路蟑螂,130276,133367,網絡蟑螂,130275,133366,1
網路電話,34038,70562,互聯網電話,1746,1653,1
纜線數據機,124000,129657,電纜調制解調器,124078,129128,1
聯結車,35369,85760,拖掛車,129438,126057,1
聯絡簿,35374,95126,聯繫本,65602,85759,1
