流水號,國字,審定音一,審定音二,審定音三,審定音四,審定音五,審定音六
1035,訥,ㄋㄜˋ,,,,,
1036,許,ㄒㄩˇ,,,,,
1037,詐,ㄓㄚˋ,,,,,
1038,診,ㄓㄣˇ,,,,,
1039,訾,ㄗˇ ,,,,,
1040,語,ㄩˇ,ㄩˋ,,,,
1041,誣,ㄨ,,,,,
1042,說,ㄕㄨㄛ,ㄕㄨㄟˋ,,,,
1043,誨,ㄏㄨㄟˋ,,,,,
1044,誼,丨ˋ,,,,,
1045,諒,ㄌ丨ㄤˋ,,,,,
1046,請,ㄐ丨ㄥˋ,ㄑ丨ㄥˇ,,,,
1047,調,ㄉ丨ㄠˋ,ㄊ丨ㄠˊ,,,,
1048,誰,ㄕㄟˊ,,,,,
1049,論,ㄌㄨㄣˊ,ㄌㄨㄣˋ,,,,
1050,諷,ㄈㄥˋ,,,,,
1051,謎,ㄇ丨ˊ,,,,,
1052,謙,ㄑ丨ㄢ,,,,,
1053,識,ㄓˋ,ㄕˋ,,,,
1054,讀,ㄉㄡˋ,ㄉㄨˊ,,,,
1055,谷,ㄍㄨˇ,ㄩˋ,,,,
1056,豁,ㄏㄨㄛˋ,ㄏㄨㄚˊ,,,,
1057,谿,ㄒ丨,,,,,
1058,豈,ㄑ丨ˇ,,,,,
1059,豉,ㄔˇ,,,,,
1060,貉,ㄏㄜˊ,ㄇㄛˋ,,,,
1061,責,ㄗㄜˊ,,,,,
1062,賁,ㄅㄣ,ㄅ丨ˋ,,,,
1063,費,ㄈㄟˋ,,,,,
1064,貿,ㄇㄠˋ,,,,,
1065,貸,ㄉㄞˋ,,,,,
1066,賊,ㄗㄟˊ,,,,,
1067,賈,ㄍㄨˇ,ㄐ丨ㄚˇ,,,,
1068,賄,ㄏㄨㄟˋ,,,,,
1069,賃,ㄌ丨ㄣˋ,,,,,
1070,賓,ㄅ丨ㄣ,,,,,
1071,賢,ㄒ丨ㄢˊ,,,,,
1072,賜,ㄙˋ,,,,,
1073,質,ㄓˊ,ㄓˋ,,,,
1074,賺,ㄓㄨㄢˋ,,,,,
1075,贛,ㄍㄢˋ,,,,,
1076,赳,ㄐ丨ㄡ,,,,,
1077,趣,ㄑㄩˋ,,,,,
1078,趨,ㄑㄩ,,,,,
1079,足,ㄗㄨˊ,ㄐㄩˋ,,,,
1080,跑,ㄆㄠˊ,ㄆㄠˇ,,,,
1081,跛,ㄅㄛˇ,,,,,
1082,踅,ㄒㄩㄝˊ,,,,,
1083,踝,ㄏㄨㄞˊ,,,,,
1084,踹,ㄔㄨㄞˋ,,,,,
1085,蹣,ㄇㄢˊ,,,,,
1086,蹲,ㄉㄨㄣ,,,,,
1087,蹶,ㄐㄩㄝˊ,,,,,
1088,躂,ㄊㄚˋ,˙ㄉㄚ,,,,
1089,躍,ㄩㄝˋ,,,,,
1090,身,ㄕㄣ,ㄐㄩㄢ,,,,
1091,車,ㄔㄜ,ㄐㄩ,,,,
1092,軋,ㄍㄚˊ,丨ㄚˋ,,,,
1093,軸,ㄓㄡˊ,,,,,
1094,較,ㄐ丨ㄠˋ,,,,,
1095,載,ㄗㄞˇ,ㄗㄞˋ,,,,
1096,輾,ㄋ丨ㄢˇ ,ㄓㄢˇ,,,,
1097,轂,ㄍㄨ,ㄍㄨˇ,,,,
1098,轉,ㄓㄨㄢˇ,ㄓㄨㄢˋ,,,,
1099,轍,ㄓㄜˊ,ㄔㄜˋ,,,,
1100,辟,ㄅ丨ˋ,ㄆ丨ˋ,,,,
1101,辱,ㄖㄨˋ,,,,,
1102,迆,丨ˊ,,,,,
1103,迎,丨ㄥˊ,,,,,
1104,追,ㄉㄨㄟ,ㄓㄨㄟ,,,,
1105,逅,ㄏㄡˋ,,,,,
1106,迸,ㄅㄥˋ,,,,,
1107,這,ㄓㄜˋ,,,,,
1108,造,ㄗㄠˋ,,,,,
1109,逢,ㄆㄥˊ,ㄈㄥˊ,,,,
1110,逮,ㄉㄞˇ,ㄉㄞˋ,,,,
1111,遂,ㄙㄨㄟˋ,,,,,
1112,達,ㄉㄚˊ,,,,,
1113,逼,ㄅ丨,,,,,
1114,過,ㄍㄨㄛ,ㄍㄨㄛˋ,,,,
1115,遍,ㄅ丨ㄢˋ,,,,,
1116,遠,ㄩㄢˇ,ㄩㄢˋ,,,,
1117,遜,ㄒㄩㄣˋ,,,,,
1118,遛,ㄌ丨ㄡˋ,,,,,
1119,適,ㄉ丨ˊ,ㄕˋ,,,,
1120,遮,ㄓㄜ,,,,,
1121,遴,ㄌ丨ㄣˊ,,,,,
1122,遲,ㄔˊ,,,,,
1123,遺,丨ˊ,ㄨㄟˋ,,,,
1124,避,ㄅ丨ˋ,,,,,
1125,還,ㄏㄞˊ,ㄏㄨㄢˊ,,,,
1126,邪,ㄒ丨ㄝˊ,丨ㄝˊ,,,,
1127,那,ㄋㄚ,ㄋㄚˇ,ㄋㄚˋ,ㄋㄨㄛˊ,,
1128,郝,ㄏㄠˇ,,,,,
1129,都,ㄉㄡ,ㄉㄨ,,,,
1130,鄉,ㄒ丨ㄤ,,,,,
1131,鄙,ㄅ丨ˇ,,,,,
1132,酊,ㄉ丨ㄥ,ㄉ丨ㄥˇ,,,,
1133,酢,ㄗㄨㄛˋ,ㄘㄨˋ,,,,
1134,酪,ㄌㄨㄛˋ,,,,,
1135,酩,ㄇ丨ㄥˊ,,,,,
1136,酵,ㄒ丨ㄠˋ,,,,,
1137,醋,ㄘㄨˋ,,,,,
1138,醒,ㄒ丨ㄥˇ,,,,,
1139,釃,ㄙ ,,,,,
1140,采,ㄘㄞˇ,,,,,
1141,重,ㄓㄨㄥˋ,ㄔㄨㄥˊ,,,,
1142,量,ㄌ丨ㄤˊ,ㄌ丨ㄤˋ,,,,
1143,釐,ㄌ丨ˊ,ㄒ丨,,,,
1144,釘,ㄉ丨ㄥ,ㄉ丨ㄥˋ,,,,
1145,鈔,ㄔㄠ,,,,,
1146,鈷,ㄍㄨˇ,ㄍㄨ,,,,
1147,鈸,ㄅㄚˊ,,,,,
1148,鈾,丨ㄡˋ,,,,,
1149,鉛,ㄑ丨ㄢ,丨ㄢˊ,,,,
1150,銻,ㄊ丨ˋ,ㄊ丨,,,,
1151,鋪,ㄆㄨ,ㄆㄨˋ,,,,
1152,鋸,ㄐㄩˋ,,,,,
1153,錯,ㄘㄨㄛˋ,,,,,
1154,錢,ㄑ丨ㄢˊ,,,,,
1155,鋼,ㄍㄤ,ㄍㄤˋ,,,,
1156,鏑,ㄉ丨ˊ,ㄉ丨,,,,
1157,鏃,ㄗㄨˊ,,,,,
1158,鏜,ㄊㄤ,,,,,
1159,鎩,ㄕㄚ,,,,,
1160,鐐,ㄌ丨ㄠˊ,,,,,
1161,鐺,ㄉㄤ,ㄔㄥ,,,,
1162,鑲,ㄒ丨ㄤ,,,,,
1163,鑰,丨ㄠˋ,,,,,
1164,鑽,ㄗㄨㄢ,ㄗㄨㄢˋ,,,,
1165,鑿,ㄗㄠˊ,,,,,
1166,長,ㄓㄤˇ,ㄓㄤˋ,ㄔㄤˊ,,,
1167,間,ㄐ丨ㄢ,ㄐ丨ㄢˋ,,,,
1168,閒,ㄒ丨ㄢˊ,,,,,
1169,閩,ㄇ丨ㄣˇ,,,,,
1170,閤,ㄍㄜˊ,ㄏㄜˊ,,,,
1171,闖,ㄔㄨㄤˇ,,,,,
1172,闕,ㄑㄩㄝˋ,ㄑㄩㄝ,,,,
1173,阿,ㄜ,ㄚ,,,,
1174,降,ㄐ丨ㄤˋ,ㄒ丨ㄤˊ,,,,
1175,陳,ㄔㄣˊ,,,,,
1176,陸,ㄌ丨ㄡˋ,ㄌㄨˋ,,,,
1177,陰,丨ㄣ,,,,,
1178,陶,ㄊㄠˊ,丨ㄠˊ,,,,
1179,隘,ㄞˋ,,,,,
1180,隕,ㄩㄣˇ,,,,,
1181,隱,丨ㄣˇ,,,,,
1182,雀,ㄑㄩㄝˋ,,,,,
1183,雅,丨ㄚ,丨ㄚˇ,,,,
1184,雋,ㄐㄩㄢˋ,ㄐㄩㄣˋ,,,,
1185,雌,ㄘ,,,,,
1186,雖,ㄙㄨㄟ,,,,,
1187,雙,ㄕㄨㄤ,,,,,
1188,難,ㄋㄢˊ,ㄋㄢˋ,ㄋㄨㄛˊ,,,
1189,雨,ㄩˇ,ㄩˋ,,,,
1190,雪,ㄒㄩㄝˇ,,,,,
1191,雩,ㄩˊ,,,,,
1192,雹,ㄅㄠˊ,,,,,
1193,零,ㄌ丨ㄥˊ,,,,,
1194,需,ㄒㄩ,,,,,
1195,霸,ㄅㄚˋ,ㄆㄛˋ,,,,
1196,露,ㄌㄡˋ,ㄌㄨˋ,,,,
1197,青,ㄑ丨ㄥ,,,,,
1198,非,ㄈㄟ,,,,,
1199,靡,ㄇ丨ˇ,,,,,
1200,靦,ㄇ丨ㄢˇ,ㄊ丨ㄢˇ,,,,
1201,革,ㄍㄜˊ,,,,,
1202,靶,ㄅㄚˇ,ㄅㄚˋ,,,,
1203,鞅,丨ㄤ,,,,,
1204,鞘,ㄑ丨ㄠˋ,,,,,
1205,韁,ㄐ丨ㄤ,,,,,
1206,音,丨ㄣ,,,,,
1207,頁,丨ㄝˋ,,,,,
1208,頃,ㄑ丨ㄥˇ,,,,,
1209,頓,ㄉㄨㄣˋ,ㄉㄨˊ,,,,
1210,頌,ㄙㄨㄥˋ,,,,,
1211,頗,ㄆㄛˇ,,,,,
1212,頡,ㄐ丨ㄝˊ,ㄒ丨ㄝˊ,,,,
1213,頦,ㄎㄜ,ㄏㄞˊ,,,,
1214,頸,ㄐ丨ㄥˇ,ㄍㄥˇ,,,,
1215,頭,ㄊㄡˊ,˙ㄊㄡ,,,,
1216,顆,ㄎㄜ,,,,,
1217,額,ㄜˊ,,,,,
1218,顫,ㄓㄢˋ,,,,,
1219,風,ㄈㄥ,ㄈㄥˋ,,,,
1220,食,ㄕˊ,ㄙˋ,丨ˋ,,,
1221,飩,ㄉㄨㄣˋ,,,,,
1222,飲,丨ㄣˇ,丨ㄣˋ,,,,
1223,養,丨ㄤˇ,丨ㄤˋ,,,,
1224,餚,丨ㄠˊ,,,,,
1225,餾,ㄌ丨ㄡˋ,,,,,
1226,馨,ㄒ丨ㄣ,,,,,
1227,馮,ㄆ丨ㄥˊ,ㄈㄥˊ,,,,
1228,馱,ㄉㄨㄛˋ,ㄊㄨㄛˊ,,,,
1229,馴,ㄒㄩㄣˊ,,,,,
1230,騎,ㄐ丨ˋ,ㄑ丨ˊ,,,,
1231,騫,ㄑ丨ㄢ,,,,,
1232,驁,ㄠˊ ,,,,,
1233,驏,ㄓㄢˋ,,,,,
1234,骨,ㄍㄨ,ㄍㄨˇ,ㄍㄨˊ,,,
1235,骯,ㄤ,,,,,
1236,髒,ㄗㄤ,,,,,
1237,髻,ㄐ丨ˋ,,,,,
1238,鬲,ㄌ丨ˋ,ㄍㄜˊ,,,,
1239,鬻,ㄩˋ,,,,,
1240,魄,ㄆㄛˋ,ㄊㄨㄛˋ,,,,
1241,魏,ㄨㄟˋ,,,,,
1242,魟,ㄏㄨㄥ,ㄍㄨㄥ,,,,
1243,鮮,ㄒ丨ㄢ,ㄒ丨ㄢˇ,,,,
1244,鮭,ㄍㄨㄟ,ㄒ丨ㄝˊ ,,,,
1245,鯈,ㄔㄡˊ,,,,,
1246,鯖,ㄑ丨ㄥ,,,,,
1247,鰓,ㄒ丨ˇ,ㄙㄞ,,,,
1248,鱖,ㄍㄨㄟˋ,,,,,
1249,鱣,ㄓㄢ,ㄕㄢˋ,,,,
1250,鳥,ㄋ丨ㄠˇ,,,,,
1251,鴝,ㄍㄡ,ㄑㄩˊ ,,,,
1252,鵠,ㄍㄨˇ,ㄏㄨˊ,,,,
1253,鵲,ㄑㄩㄝˋ,,,,,
1254,鶩,ㄨˋ,,,,,
1255,鶴,ㄏㄜˋ,,,,,
1256,鹽,丨ㄢˊ,丨ㄢˋ,,,,
1257,麗,ㄌ丨ˊ,ㄌ丨ˋ,,,,
1258,麥,ㄇㄞˋ,,,,,
1259,麼,ㄇㄛˊ,ㄇㄚˊ,˙ㄇㄜ,,,
1260,黑,ㄏㄟ,,,,,
1261,齊,ㄐ丨ˋ,ㄑ丨ˊ,ㄗ,,,
1262,齦,丨ㄣˊ,,,,,
1263,龜,ㄍㄨㄟ,ㄐㄩㄣ,ㄑ丨ㄡ,,,
