流水號,國字,審定音一,審定音二,審定音三,審定音四,審定音五,審定音六
128,劊,ㄎㄨㄞˋ ,,,,,
129,勁,ㄐ丨ㄥˋ,,,,,
130,勒,ㄌㄜˋ,ㄌㄟ,,,,
131,勘,ㄎㄢ,,,,,
132,勞,ㄌㄠˊ,ㄌㄠˋ,,,,
133,勝,ㄕㄥ,ㄕㄥˋ,,,,
134,勦,ㄐ丨ㄠˇ,ㄔㄠ,,,,
135,勺,ㄓㄨㄛˊ,ㄕㄠˊ,,,,
136,勾,ㄍㄡ,ㄍㄡˋ,,,,
137,包,ㄅㄠ,ㄆㄠˋ,,,,
138,化,ㄏㄨㄚˋ,ㄏㄨㄚ,,,,
139,北,ㄅㄟˇ,,,,,
140,匙,ㄔˊ,˙ㄕ,,,,
141,匱,ㄍㄨㄟˋ,ㄎㄨㄟˋ,,,,
142,匹,ㄆ丨,ㄆ丨ˇ,,,,
143,匿,ㄋ丨ˋ,,,,,
144,區,ㄑㄩ,ㄡ,,,,
145,午,ㄨˇ,,,,,
146,卒,ㄗㄨˊ,ㄘㄨˋ,,,,
147,卓,ㄓㄨㄛˊ,,,,,
148,南,ㄋㄢˊ,ㄋㄚˊ,,,,
149,卡,ㄎㄚˇ,,,,,
150,占,ㄓㄢ,ㄓㄢˋ,,,,
151,卷,ㄐㄩㄢˇ,ㄐㄩㄢˋ,ㄑㄩㄢˊ,,,
152,原,ㄩㄢˊ,,,,,
153,厭,丨ㄢˋ,丨ㄢ,,,,
154,厲,ㄌ丨ˋ,,,,,
155,參,ㄕㄣ,ㄘㄢ,ㄘㄣ,,,
156,叉,ㄔㄚ,,,,,
157,反,ㄈㄢˇ,,,,,
158,叟,ㄙㄡˇ,,,,,
159,曼,ㄇㄢˋ,,,,,
160,叢,ㄘㄨㄥˊ,,,,,
161,可,ㄎㄜˇ,ㄎㄜˋ,,,,
162,召,ㄓㄠˋ,ㄕㄠˋ,,,,
163,叨,ㄉㄠ,ㄊㄠ,,,,
164,只,ㄓˇ,,,,,
165,台,丨ˊ,ㄊㄞˊ,,,,
166,句,ㄍㄡ,ㄐㄩˋ,ㄍㄡˋ,,,
167,同,ㄊㄨㄥˊ,ㄊㄨㄥˋ,,,,
168,吐,ㄊㄨˇ,ㄊㄨˋ,,,,
169,合,ㄍㄜˇ,ㄏㄜˊ,,,,
170,吃,ㄐ丨ˊ,ㄔ,,,,
171,吭,ㄎㄥ,ㄏㄤˊ,,,,
172,吾,ㄨˊ,,,,,
173,否,ㄆ丨ˇ,ㄈㄡˇ,,,,
174,吧,ㄅㄚ,˙ㄅㄚ,,,,
175,呆,ㄉㄞ,,,,,
176,告,ㄍㄠˋ,ㄍㄨˋ,,,,
177,吹,ㄔㄨㄟ,,,,,
178,呀,ㄒ丨ㄚ,丨ㄚ,˙丨ㄚ,,,
179,吱,ㄓ,,,,,
180,含,ㄏㄢˊ,,,,,
181,呵,ㄏㄜ,ㄛ,,,,
182,咔,ㄎㄚ,,,,,
183,呱,ㄍㄨㄚ,ㄨㄚ,,,,
184,和,ㄏㄜˊ,ㄏㄜˋ,ㄏㄢˋ,ㄏㄨㄛˋ,˙ㄏㄨㄛ,ㄏㄨˊ
185,呢,˙ㄋㄜ,ㄋ丨ˊ,,,,
186,咋,ㄗㄜˊ,,,,,
187,咎,ㄍㄠ,ㄐ丨ㄡˋ,,,,
188,咬,丨ㄠˇ,,,,,
189,咳,ㄎㄜˊ,ㄏㄞ,,,,
190,哇,ㄨㄚ,˙ㄨㄚ,,,,
191,咽,丨ㄝˋ,丨ㄢ,,,,
192,哄,ㄏㄨㄥ,ㄏㄨㄥˇ,,,,
193,哈,ㄎㄚ,ㄏㄚ,ㄏㄚˇ,,,
194,咯,˙ㄌㄛ,ㄍㄜ,ㄎㄚˇ,,,
195,咱,ㄗㄢˊ,ㄗㄚˊ,,,,
196,咻,ㄒ丨ㄡ,ㄒㄩˇ,,,,
197,咧,ㄌ丨ㄝˇ,,,,,
198,哆,ㄉㄨㄛ,ㄔㄜˇ ,,,,
199,哺,ㄅㄨˇ,,,,,
200,哩,ㄌ丨,ㄌ丨ˇ,˙ㄌ丨,,,
201,員,ㄩㄢˊ,ㄩㄣˊ,,,,
202,哮,ㄒ丨ㄠ,,,,,
203,哪,ㄋㄚˇ,˙ㄋㄚ,ㄋㄨㄛˊ,,,
204,哦,ㄛˊ,ㄜˊ,,,,
205,唧,ㄐ丨ˊ,,,,,
206,唇,ㄓㄣ,ㄔㄨㄣˊ ,,,,
207,啪,ㄆㄚ,,,,,
208,啦,ㄌㄚ,˙ㄌㄚ,,,,
209,啞,丨ㄚ,丨ㄚˇ,,,,
210,啊,ㄚ,˙ㄚ,,,,
211,唯,ㄨㄟˊ,,,,,
212,啁,ㄓㄡ ,,,,,
213,啻,ㄔˋ,,,,,
214,喀,ㄎㄚ,,,,,
215,喝,ㄏㄜ,ㄏㄜˋ,,,,
216,喪,ㄙㄤ,ㄙㄤˋ,,,,
217,喔,ㄛ,ㄨㄛˋ,,,,
218,喇,ㄌㄚˇ,,,,,
219,喋,ㄉ丨ㄝˊ,,,,,
220,喳,ㄓㄚ,,,,,
221,單,ㄉㄢ,ㄕㄢˋ,ㄔㄢˊ,,,
222,喬,ㄑ丨ㄠˊ,,,,,
223,喏,ㄋㄨㄛˋ,ㄖㄜˇ,,,,
224,喒,ㄗㄚˊ,ㄗㄢˊ,,,,
225,嗟,ㄐ丨ㄝ,,,,,
226,嗎,ㄇㄚˇ,˙ㄇㄚ,,,,
227,嗗,ㄍㄨ,,,,,
228,嗑,ㄎㄜˋ,ㄏㄜˊ,,,,
229,嗆,ㄑ丨ㄤˋ,,,,,
230,嗒,ㄉㄚ,ㄊㄚˋ,,,,
231,嗾,ㄙㄡˇ,,,,,
232,嘛,ㄇㄚˊ,˙ㄇㄚ,,,,
233,嘔,ㄡ,ㄡˇ,ㄡˋ,,,
234,嘍,ㄌㄡˊ,˙ㄌㄡ,,,,
235,嘎,ㄍㄚ,,,,,
236,嘁,ㄑ丨,,,,,
237,嘲,ㄔㄠˊ,,,,,
238,嘿,ㄏㄟ,,,,,
239,嘩,ㄏㄨㄚ,ㄏㄨㄚˊ,,,,
240,噓,ㄒㄩ,,,,,
241,噴,ㄆㄣ,ㄆㄣˋ,,,,
242,噌,ㄗㄥ ,,,,,
243,噫,丨ˋ,,,,,
244,噹,ㄉㄤ,ㄉ丨ㄤ,,,,
245,噱,ㄐㄩㄝˊ,ㄒㄩㄝ,,,,
246,噯,ㄞˋ,,,,,
247,噶,ㄍㄜˊ ,,,,,
248,噭,ㄐ丨ㄠˋ,ㄑ丨ㄠˋ,,,,
249,嚇,ㄏㄜˋ,ㄒ丨ㄚˋ,,,,
250,嚷,ㄖㄤˇ,,,,,
251,嚼,ㄐ丨ㄠˊ,ㄐㄩㄝˊ,,,,
252,囁,ㄋ丨ㄝˋ,,,,,
253,囉,ㄌㄨㄛ,ㄌㄨㄛˊ,˙ㄌㄨㄛ,,,
254,囝,ㄐ丨ㄢˇ ,,,,,
